inspectie_id,product_type,productielijn,lijnsnelheid_per_min,oppervlakte_px,omtrek_px,circulariteit,aspectverhouding,compactheid,gem_intensiteit,std_intensiteit,kleuruniformiteit,contrast,correlatie,energie,homogeniteit,randdichtheid,ruwheid,aantal_contouren,confidence_score,defect_type,goedgekeurd
VIS-001191,tablet,Lijn_1,197,7930,308.8,1.05,0.969,0.834,145.5,14.2,0.882,2.68,0.913,0.301,0.787,0.134,0.0605,4,0.813,geen,1
VIS-001192,tablet,Lijn_1,201,8116,312.6,1.044,0.985,0.857,167.3,15.7,0.93,31.42,0.841,0.343,0.693,0.293,0.056,0,0.157,kras,0
VIS-001193,vial,Lijn_1,205,15309,421.1,1.078,0.994,0.925,194.3,13.3,0.933,5.26,0.867,0.316,0.724,0.15,0.0427,2,0.774,geen,1
VIS-001194,vial,Lijn_1,196,14317,445.8,0.894,0.992,0.85,196.8,12.9,0.945,9.48,0.885,0.339,0.721,0.183,0.0405,2,0.885,geen,1
VIS-001195,vial,Lijn_2,295,14532,411.1,1.086,0.947,0.794,192.5,16.4,0.898,3.19,0.821,0.283,0.798,0.174,0.0436,2,0.797,geen,1
VIS-001196,vial,Lijn_2,301,15496,426.6,1.06,0.961,0.884,187.6,14.1,0.922,10.61,0.878,0.34,0.779,0.149,0.0647,4,0.734,geen,1
VIS-001197,vial,Lijn_3,142,15023,423.0,1.023,1.007,0.902,166.0,17.2,0.882,2.67,0.839,0.346,0.821,0.053,0.0568,6,0.861,geen,1
VIS-001198,vial,Lijn_2,300,14971,443.3,0.959,1.077,0.905,158.9,11.1,0.962,2.21,0.752,0.276,0.79,0.154,0.0476,0,0.899,geen,1
VIS-001199,capsule,Lijn_1,191,6091,267.8,0.946,1.06,0.836,152.9,12.8,0.911,2.96,0.8,0.246,0.769,0.33,0.0848,4,0.4,barst,0
VIS-001200,vial,Lijn_2,294,14340,476.0,0.897,0.988,0.823,184.6,13.2,0.893,11.18,0.93,0.377,0.802,0.168,0.0491,3,0.583,vulniveau,0
VIS-001201,vial,Lijn_1,194,15411,471.2,0.68,1.151,0.683,175.9,9.6,0.914,6.98,0.773,0.276,0.757,0.132,0.0498,3,0.528,vormafwijking,0
VIS-001202,vial,Lijn_3,140,14788,413.5,1.07,1.025,0.877,176.8,10.5,0.899,3.05,0.794,0.265,0.9,0.125,0.0459,2,0.784,geen,1
VIS-001203,capsule,Lijn_1,206,6099,286.9,0.944,0.971,0.886,164.7,11.4,0.954,3.15,0.839,0.244,0.807,0.089,0.0499,2,0.931,geen,1
VIS-001204,tablet,Lijn_1,202,7933,335.2,0.867,1.0,0.853,164.7,7.1,0.87,25.74,0.829,0.267,0.835,0.131,0.038,5,0.918,geen,1
VIS-001205,tablet,Lijn_3,151,8065,314.0,1.005,0.968,0.85,183.0,14.6,0.97,2.05,0.793,0.333,0.831,0.125,0.065,7,0.771,geen,1
VIS-001206,tablet,Lijn_2,295,7691,309.3,1.022,0.99,0.869,165.4,11.9,0.917,4.07,0.898,0.282,0.812,0.157,0.0684,2,0.539,geen,1
VIS-001207,tablet,Lijn_1,203,7964,335.4,0.887,0.956,0.892,183.7,12.8,0.911,4.28,0.793,0.268,0.767,0.111,0.0568,2,0.838,geen,1
VIS-001208,tablet,Lijn_3,154,7626,318.5,0.913,1.008,0.909,195.7,9.3,0.942,3.67,0.901,0.196,0.822,0.14,0.0469,3,0.973,geen,1
VIS-001209,capsule,Lijn_1,209,6198,267.8,1.08,1.015,0.908,199.1,12.1,0.914,5.36,0.815,0.338,0.846,0.198,0.0519,1,0.934,geen,1
VIS-001210,capsule,Lijn_2,294,6025,268.2,1.03,1.002,0.835,189.6,9.8,0.882,4.27,0.877,0.274,0.799,0.173,0.0535,4,0.937,geen,1
VIS-001211,tablet,Lijn_1,196,8053,331.5,0.881,1.032,0.862,166.5,9.9,0.889,7.7,0.908,0.298,0.83,0.349,0.1532,7,0.307,barst,0
VIS-001212,vial,Lijn_3,149,14523,434.5,0.96,1.035,0.847,179.3,11.6,0.938,14.87,0.84,0.212,0.753,0.275,0.0417,0,0.2,kras,0
VIS-001213,tablet,Lijn_1,201,7204,315.4,0.876,1.076,0.846,173.2,8.6,0.908,3.64,0.866,0.321,0.772,0.124,0.052,1,0.759,geen,1
VIS-001214,capsule,Lijn_2,300,6264,281.7,1.032,1.008,0.848,180.3,13.1,0.97,5.41,0.828,0.32,0.764,0.162,0.0468,2,0.935,geen,1
VIS-001215,tablet,Lijn_3,149,8173,339.1,0.869,1.069,0.853,147.1,6.6,0.945,16.01,0.92,0.297,0.74,0.186,0.0483,3,0.605,geen,1
VIS-001216,tablet,Lijn_2,307,7934,329.9,0.899,1.0,0.841,178.9,13.7,0.901,5.16,0.921,0.304,0.808,0.111,0.0544,0,0.689,geen,1
VIS-001217,vial,Lijn_2,300,14568,428.1,0.976,1.038,0.834,181.8,14.1,0.963,2.39,0.817,0.243,0.847,0.188,0.0433,2,0.724,geen,1
VIS-001218,capsule,Lijn_2,293,5865,276.9,0.957,0.994,0.878,164.5,17.4,0.908,5.42,0.901,0.298,0.804,0.128,0.0543,1,0.932,geen,1
VIS-001219,vial,Lijn_1,190,14932,438.2,0.974,1.016,0.817,212.4,14.5,0.955,4.48,0.818,0.245,0.804,0.163,0.0505,3,0.678,geen,1
VIS-001220,tablet,Lijn_1,205,7717,332.5,0.924,1.046,0.871,177.5,13.3,0.945,5.0,0.831,0.286,0.813,0.177,0.0462,5,0.735,geen,1
VIS-001221,vial,Lijn_2,295,15916,455.0,0.927,0.99,0.88,185.9,10.2,0.954,2.28,0.942,0.283,0.775,0.125,0.0515,1,0.901,geen,1
VIS-001222,capsule,Lijn_3,156,6189,296.9,0.868,1.0,0.783,182.7,14.1,0.895,10.33,0.833,0.392,0.907,0.17,0.0585,1,0.958,geen,1
VIS-001223,capsule,Lijn_1,205,6502,303.3,0.883,1.003,0.9,219.8,9.2,0.925,9.7,0.936,0.34,0.82,0.115,0.0539,2,0.551,geen,1
VIS-001224,vial,Lijn_1,193,14227,463.3,0.888,1.0,0.869,168.0,11.4,0.935,8.54,0.86,0.3,0.787,0.136,0.0565,2,0.136,vulniveau,0
VIS-001225,tablet,Lijn_1,209,7835,331.3,0.956,1.041,0.858,201.7,9.1,0.953,5.48,0.882,0.186,0.84,0.138,0.0548,7,0.967,geen,1
VIS-001226,vial,Lijn_1,202,14491,423.6,1.059,1.017,0.842,161.5,13.6,0.897,3.99,0.875,0.239,0.828,0.119,0.0637,2,0.672,geen,1
VIS-001227,tablet,Lijn_3,150,7825,302.4,1.105,1.017,0.846,192.5,10.7,0.969,4.42,0.829,0.191,0.815,0.141,0.0578,5,0.725,geen,1
VIS-001228,tablet,Lijn_1,209,7820,320.5,0.818,1.171,0.796,185.4,8.9,0.9,9.16,0.887,0.347,0.824,0.132,0.0576,2,0.088,vormafwijking,0
VIS-001229,vial,Lijn_2,306,14770,445.1,0.953,0.998,0.872,207.1,11.2,0.894,4.86,0.856,0.34,0.821,0.155,0.0673,2,0.724,geen,1
VIS-001230,vial,Lijn_1,200,15808,461.3,0.922,0.99,0.876,200.2,13.9,0.918,6.61,0.803,0.279,0.755,0.138,0.0511,1,0.599,geen,1
VIS-001231,tablet,Lijn_2,309,7274,298.4,1.023,0.937,0.881,141.4,10.0,0.923,7.15,0.804,0.38,0.795,0.107,0.0314,5,0.855,geen,1
VIS-001232,capsule,Lijn_2,293,6226,277.1,1.03,0.976,0.81,177.2,10.5,0.905,2.27,0.739,0.252,0.856,0.129,0.0492,5,0.987,geen,1
VIS-001233,tablet,Lijn_3,147,7796,320.3,0.984,1.049,0.884,194.9,10.1,0.912,5.62,0.929,0.26,0.816,0.179,0.0557,1,0.819,geen,1
VIS-001234,vial,Lijn_2,304,14891,430.9,1.003,0.95,0.842,177.0,9.1,0.967,5.38,0.822,0.338,0.834,0.198,0.053,1,0.863,geen,1
VIS-001235,tablet,Lijn_1,207,7586,323.3,0.898,0.933,0.828,145.5,19.1,0.844,5.35,0.765,0.28,0.81,0.153,0.05,2,0.37,verkleuring,0
VIS-001236,tablet,Lijn_2,307,7822,309.6,0.994,1.017,0.875,172.9,14.2,0.887,14.07,0.856,0.316,0.819,0.157,0.0419,3,0.798,geen,1
VIS-001237,vial,Lijn_3,147,15152,444.1,0.957,0.977,0.814,160.9,12.8,0.892,10.44,0.812,0.335,0.782,0.145,0.0662,0,0.88,geen,1
VIS-001238,vial,Lijn_2,300,13894,449.6,0.928,0.981,0.803,193.8,5.2,0.972,37.35,0.897,0.315,0.812,0.137,0.06,1,0.473,vulniveau,0
VIS-001239,tablet,Lijn_1,209,8016,331.5,0.917,1.076,0.903,154.6,7.5,0.936,3.56,0.832,0.304,0.875,0.169,0.0573,2,0.9,geen,1
VIS-001240,vial,Lijn_2,300,14236,408.7,1.076,1.016,0.804,190.0,12.5,0.868,2.45,0.892,0.211,0.792,0.154,0.04,3,0.943,geen,1
VIS-001241,vial,Lijn_2,302,15017,449.5,0.948,0.965,0.85,153.0,23.1,0.81,4.4,0.832,0.365,0.766,0.21,0.0398,0,0.257,verkleuring,0
VIS-001242,tablet,Lijn_1,193,8420,325.2,1.01,1.014,0.923,177.2,15.3,0.917,2.61,0.777,0.306,0.802,0.15,0.0523,2,0.622,geen,1
VIS-001243,vial,Lijn_3,152,15289,436.6,1.0,1.011,0.873,130.3,29.1,0.742,10.85,0.801,0.257,0.864,0.183,0.0446,2,0.4,verkleuring,0
VIS-001244,vial,Lijn_3,152,14771,433.6,1.002,1.039,0.824,177.9,9.7,0.926,13.71,0.903,0.279,0.728,0.084,0.0383,0,0.836,geen,1
VIS-001245,vial,Lijn_2,299,13717,431.9,1.004,0.99,0.826,189.7,12.0,0.896,3.11,0.818,0.304,0.767,0.13,0.0591,2,0.477,vulniveau,0
VIS-001246,tablet,Lijn_1,192,8067,321.4,0.96,1.012,0.897,189.0,15.0,0.881,7.71,0.865,0.291,0.799,0.143,0.053,1,0.793,geen,1
VIS-001247,tablet,Lijn_1,205,8248,322.3,1.015,0.969,0.855,180.3,9.9,0.909,5.22,0.895,0.293,0.874,0.144,0.0502,2,0.819,geen,1
VIS-001248,vial,Lijn_3,140,15377,425.4,1.068,0.995,0.823,206.9,10.7,0.914,5.78,0.894,0.261,0.823,0.097,0.0386,2,0.722,geen,1
VIS-001249,vial,Lijn_3,154,15349,446.4,0.957,1.028,0.844,192.5,10.4,0.901,12.66,0.855,0.28,0.656,0.251,0.0374,4,0.498,kras,0
VIS-001250,vial,Lijn_1,198,15830,458.9,0.938,0.977,0.868,178.6,12.4,0.973,5.3,0.949,0.242,0.781,0.11,0.0491,1,0.801,geen,1
VIS-001251,capsule,Lijn_2,290,6399,274.4,1.079,0.959,0.816,154.8,16.4,0.897,3.41,0.798,0.311,0.78,0.105,0.0458,3,0.817,geen,1
VIS-001252,vial,Lijn_3,142,15160,432.8,1.05,1.015,0.828,173.0,13.3,0.95,12.8,0.785,0.294,0.853,0.154,0.0622,4,0.524,geen,1
VIS-001253,vial,Lijn_2,300,15735,475.1,0.886,0.967,0.849,199.5,16.2,0.935,10.6,0.854,0.294,0.765,0.168,0.0418,3,0.967,geen,1
VIS-001254,tablet,Lijn_1,202,8409,327.6,0.959,1.005,0.764,175.6,11.1,0.886,8.06,0.827,0.294,0.805,0.182,0.0506,3,0.93,geen,1
VIS-001255,capsule,Lijn_3,153,5979,270.8,1.043,1.008,0.88,170.9,14.6,0.912,6.55,0.853,0.331,0.703,0.147,0.0206,3,0.975,geen,1
VIS-001256,capsule,Lijn_2,295,6218,289.3,0.925,1.024,0.836,179.3,7.9,0.964,2.26,0.892,0.237,0.825,0.144,0.0253,3,0.504,geen,1
VIS-001257,tablet,Lijn_3,144,8267,316.0,1.047,0.984,0.908,174.7,12.7,0.904,8.38,0.803,0.326,0.804,0.173,0.0537,3,0.601,geen,1
VIS-001258,vial,Lijn_2,301,14179,432.9,1.05,0.992,0.848,196.8,11.4,0.912,3.1,0.803,0.217,0.847,0.155,0.046,1,0.154,vulniveau,0
VIS-001259,tablet,Lijn_2,306,8094,306.6,1.051,0.917,0.811,162.2,6.7,0.931,3.0,0.947,0.315,0.795,0.11,0.0386,1,0.906,geen,1
VIS-001260,tablet,Lijn_3,143,8106,342.1,0.886,0.995,0.841,187.6,14.3,0.953,4.69,0.767,0.274,0.745,0.117,0.0433,1,0.92,geen,1
VIS-001261,vial,Lijn_1,206,15418,426.3,1.039,1.065,0.8,184.7,18.7,0.951,21.01,0.791,0.309,0.84,0.131,0.0326,1,0.814,geen,1
VIS-001262,capsule,Lijn_2,293,5961,268.7,1.015,1.001,0.877,169.6,10.2,0.923,3.85,0.793,0.198,0.844,0.179,0.0621,0,0.95,geen,1
VIS-001263,tablet,Lijn_2,296,7967,333.5,0.906,0.968,0.806,168.4,10.9,0.89,6.62,0.944,0.312,0.839,0.119,0.0648,1,0.892,geen,1
VIS-001264,vial,Lijn_2,303,15893,430.9,1.063,1.009,0.867,199.8,6.7,0.916,2.18,0.92,0.22,0.741,0.133,0.0442,4,0.939,geen,1
VIS-001265,vial,Lijn_1,201,15159,424.8,1.103,1.034,0.908,186.2,11.0,0.918,5.55,0.912,0.271,0.779,0.163,0.0382,2,0.802,geen,1
VIS-001266,capsule,Lijn_3,159,6382,273.1,1.1,0.952,0.842,160.3,9.9,0.917,3.73,0.818,0.215,0.885,0.167,0.0485,0,0.898,geen,1
VIS-001267,capsule,Lijn_2,297,6047,291.3,0.913,0.99,0.868,167.6,10.7,0.911,5.11,0.877,0.3,0.782,0.204,0.0435,0,0.829,geen,1
VIS-001268,vial,Lijn_2,304,14510,454.9,0.852,0.972,0.878,178.7,15.5,1.006,4.89,0.916,0.283,0.817,0.11,0.0412,4,0.633,geen,1
VIS-001269,vial,Lijn_2,306,14973,440.4,0.992,0.953,0.884,194.5,14.8,0.89,6.73,0.891,0.291,0.816,0.188,0.0344,6,0.42,deeltje,0
VIS-001270,vial,Lijn_1,202,14787,441.9,0.971,0.984,0.865,173.6,13.7,0.91,5.08,0.871,0.305,0.725,0.18,0.0465,0,0.893,geen,1
VIS-001271,capsule,Lijn_1,200,5770,275.1,0.97,1.003,0.865,193.6,14.9,0.939,7.71,0.837,0.248,0.864,0.182,0.043,3,0.516,geen,1
VIS-001272,tablet,Lijn_3,155,7856,313.5,0.964,1.027,0.788,191.3,16.5,0.925,33.01,0.855,0.25,0.76,0.18,0.0288,1,0.678,geen,1
VIS-001273,capsule,Lijn_3,156,6125,295.7,0.872,1.0,0.75,178.9,12.6,0.908,9.48,0.808,0.226,0.813,0.106,0.0523,5,0.908,geen,1
VIS-001274,vial,Lijn_1,191,15244,441.8,0.947,1.057,0.877,156.3,12.6,0.873,3.11,0.856,0.333,0.748,0.161,0.0523,2,0.827,geen,1
VIS-001275,tablet,Lijn_2,307,8159,335.6,0.877,0.949,0.838,166.1,12.9,0.914,4.46,0.894,0.282,0.84,0.164,0.0571,1,0.645,geen,1
VIS-001276,tablet,Lijn_2,290,8112,328.9,0.947,0.963,0.848,185.3,8.3,0.915,2.92,0.786,0.354,0.783,0.105,0.0411,4,0.821,geen,1
VIS-001277,vial,Lijn_3,153,12757,446.3,0.903,1.018,0.84,159.5,7.3,0.857,3.73,0.897,0.256,0.787,0.155,0.0527,1,0.272,vulniveau,0
VIS-001278,vial,Lijn_3,152,14667,420.5,1.044,1.027,0.841,173.6,11.0,0.949,2.89,0.815,0.234,0.767,0.144,0.0565,4,0.716,geen,1
VIS-001279,tablet,Lijn_3,140,8206,335.5,0.919,1.002,0.851,181.7,10.1,0.961,6.21,0.866,0.282,0.814,0.157,0.0559,1,0.982,geen,1
VIS-001280,capsule,Lijn_1,198,6047,295.1,0.882,0.99,0.878,176.4,10.0,0.916,8.6,0.791,0.214,0.836,0.178,0.0421,4,0.63,geen,1
VIS-001281,capsule,Lijn_3,142,6159,283.1,0.951,0.988,0.842,176.1,15.8,0.94,5.18,0.885,0.365,0.789,0.164,0.0539,0,0.963,geen,1
VIS-001282,tablet,Lijn_1,194,8016,326.7,0.944,0.94,0.935,164.8,12.1,0.923,9.0,0.818,0.307,0.801,0.168,0.0527,1,0.94,geen,1
VIS-001283,vial,Lijn_1,199,15831,470.4,0.865,1.063,0.855,194.9,8.7,0.944,6.47,0.904,0.23,0.815,0.195,0.0662,2,0.983,geen,1
VIS-001284,capsule,Lijn_3,152,6084,274.0,1.019,1.008,0.829,193.5,10.6,0.924,29.26,0.908,0.248,0.846,0.124,0.069,1,0.84,geen,1
VIS-001285,capsule,Lijn_2,291,6000,281.4,0.942,1.01,0.846,197.6,15.4,0.899,2.96,0.768,0.334,0.826,0.151,0.0384,1,0.962,geen,1
VIS-001286,tablet,Lijn_1,195,7910,331.2,0.906,1.023,0.909,207.2,18.0,0.946,10.01,0.888,0.265,0.858,0.168,0.0626,0,0.736,geen,1
VIS-001287,tablet,Lijn_3,150,7799,303.8,1.05,0.996,0.878,182.9,13.8,0.866,5.0,0.747,0.287,0.803,0.122,0.0501,2,0.878,geen,1
VIS-001288,tablet,Lijn_3,152,8302,345.8,0.885,0.933,0.849,176.4,12.3,0.898,8.74,0.789,0.357,0.831,0.157,0.0328,1,0.832,geen,1
VIS-001289,tablet,Lijn_2,295,7908,336.5,0.86,0.969,0.865,196.6,13.5,0.883,8.3,0.837,0.234,0.793,0.158,0.0542,0,0.926,geen,1
VIS-001290,vial,Lijn_1,209,15600,469.2,0.864,0.972,0.866,178.8,13.2,0.942,2.9,0.796,0.331,0.775,0.124,0.0467,1,0.646,geen,1
VIS-001291,capsule,Lijn_2,301,6309,297.0,0.893,1.019,0.844,151.0,13.3,0.925,9.97,0.825,0.302,0.766,0.139,0.0452,4,0.86,geen,1
VIS-001292,vial,Lijn_1,200,15574,430.4,1.056,0.958,0.893,184.1,10.9,1.009,10.32,0.809,0.315,0.836,0.09,0.0488,1,0.811,geen,1
VIS-001293,vial,Lijn_1,191,15742,441.7,1.003,1.043,0.83,187.5,11.6,0.951,3.67,0.684,0.38,0.773,0.084,0.0555,1,0.909,geen,1
VIS-001294,capsule,Lijn_2,291,6081,273.4,1.001,0.953,0.831,169.7,9.8,0.949,14.71,0.857,0.17,0.754,0.163,0.0489,3,0.719,geen,1
VIS-001295,vial,Lijn_2,295,15590,463.4,0.914,1.084,0.868,163.6,6.7,0.933,22.73,0.785,0.265,0.821,0.153,0.0502,2,0.811,geen,1
VIS-001296,capsule,Lijn_1,204,5628,266.0,1.018,1.003,0.847,203.9,11.1,0.94,9.86,0.88,0.313,0.8,0.102,0.0566,6,0.798,geen,1
VIS-001297,vial,Lijn_2,299,14831,419.2,1.068,1.0,0.85,159.6,12.1,0.916,2.19,0.874,0.246,0.867,0.11,0.0694,4,0.794,geen,1
VIS-001298,vial,Lijn_3,159,15332,433.4,1.021,1.008,0.878,187.1,15.7,0.912,2.02,0.85,0.281,0.736,0.153,0.0579,3,0.769,geen,1
VIS-001299,vial,Lijn_2,293,15461,429.7,1.065,0.962,0.838,176.7,8.3,0.865,9.02,0.796,0.369,0.791,0.17,0.0425,2,0.922,geen,1
VIS-001300,vial,Lijn_2,301,15742,443.1,0.995,1.032,0.827,160.3,18.0,0.955,3.28,0.94,0.252,0.707,0.148,0.0431,0,0.666,geen,1
VIS-001301,vial,Lijn_1,204,15528,456.2,0.95,1.024,0.813,190.7,14.1,0.973,6.53,0.93,0.36,0.777,0.138,0.059,3,0.742,geen,1
VIS-001302,tablet,Lijn_1,191,7855,325.1,0.887,0.986,0.847,178.8,13.5,0.931,9.68,0.869,0.203,0.776,0.191,0.0513,3,0.935,geen,1
VIS-001303,vial,Lijn_2,305,14854,425.3,1.039,0.989,0.848,173.6,11.9,0.928,4.74,0.93,0.201,0.801,0.135,0.0513,1,0.956,geen,1
VIS-001304,tablet,Lijn_2,300,7713,309.9,1.028,0.946,0.846,172.4,5.8,0.906,3.04,0.809,0.236,0.816,0.136,0.0382,2,0.846,geen,1
VIS-001305,tablet,Lijn_2,301,7966,335.4,0.896,0.957,0.853,174.5,12.5,0.935,7.0,0.87,0.25,0.774,0.156,0.046,2,0.676,geen,1
VIS-001306,tablet,Lijn_3,157,8118,311.6,1.052,0.961,0.812,186.4,12.7,0.922,8.82,0.8,0.351,0.804,0.16,0.0391,2,0.918,geen,1
VIS-001307,vial,Lijn_2,306,15151,425.1,1.076,0.992,0.832,159.1,14.0,0.908,3.69,0.832,0.309,0.818,0.161,0.0599,1,0.895,geen,1
VIS-001308,tablet,Lijn_3,143,8000,337.9,0.838,1.016,0.87,207.4,15.1,0.929,2.44,0.809,0.303,0.842,0.185,0.0596,2,0.834,geen,1
VIS-001309,vial,Lijn_2,295,14734,453.4,0.897,0.985,0.831,157.0,8.2,0.926,2.14,0.892,0.286,0.876,0.115,0.0404,1,0.909,geen,1
VIS-001310,tablet,Lijn_1,199,8163,329.3,0.786,1.079,0.725,199.6,10.9,0.871,3.21,0.818,0.277,0.806,0.158,0.0457,6,0.472,vormafwijking,0
VIS-001311,vial,Lijn_3,144,15133,438.9,1.003,1.026,0.841,202.1,9.4,0.919,4.43,0.864,0.259,0.791,0.207,0.0484,0,0.908,geen,1
VIS-001312,tablet,Lijn_2,307,8420,345.6,0.887,0.992,0.846,174.6,11.5,0.902,2.66,0.806,0.377,0.875,0.149,0.0622,2,0.87,geen,1
VIS-001313,capsule,Lijn_1,199,6172,285.6,0.969,0.999,0.843,159.1,7.2,0.924,5.18,0.789,0.251,0.821,0.152,0.0405,1,0.908,geen,1
VIS-001314,tablet,Lijn_3,154,8160,323.3,0.928,0.976,0.888,174.3,11.8,0.932,11.6,0.817,0.318,0.853,0.165,0.0433,4,0.651,geen,1
VIS-001315,capsule,Lijn_1,201,5979,278.1,0.959,0.979,0.914,177.0,12.5,0.91,13.92,0.911,0.28,0.762,0.152,0.0511,1,0.725,geen,1
VIS-001316,vial,Lijn_2,295,15468,445.8,0.962,0.934,0.807,161.1,12.5,0.938,6.6,0.895,0.315,0.805,0.14,0.0411,1,0.806,geen,1
VIS-001317,tablet,Lijn_1,199,8156,316.7,1.048,0.988,0.77,192.2,9.0,0.88,4.04,0.856,0.288,0.794,0.176,0.0558,2,0.82,geen,1
VIS-001318,tablet,Lijn_3,150,7821,330.5,0.893,0.976,0.875,153.9,9.5,0.967,3.49,0.77,0.313,0.809,0.158,0.0583,3,0.74,geen,1
VIS-001319,capsule,Lijn_1,200,5930,275.2,0.952,0.981,0.881,193.1,13.5,0.97,5.28,0.854,0.309,0.79,0.175,0.0484,6,0.896,geen,1
VIS-001320,vial,Lijn_1,195,15032,458.4,0.897,1.037,0.85,171.4,11.7,1.006,2.89,0.923,0.277,0.765,0.137,0.0375,2,0.695,geen,1
VIS-001321,vial,Lijn_1,190,14152,412.5,1.065,0.969,0.888,194.6,12.9,0.917,21.63,0.83,0.343,0.789,0.127,0.0416,0,0.56,geen,1
VIS-001322,vial,Lijn_2,299,15161,419.2,1.1,0.963,0.853,138.1,21.6,0.807,12.46,0.895,0.273,0.805,0.169,0.0484,2,0.068,verkleuring,0
VIS-001323,vial,Lijn_2,299,14354,447.5,0.898,1.052,0.877,198.6,14.0,0.948,11.42,0.734,0.399,0.793,0.081,0.0484,1,0.802,geen,1
VIS-001324,vial,Lijn_2,298,15047,456.2,0.907,0.996,0.797,176.5,12.7,0.938,2.63,0.811,0.253,0.798,0.167,0.0654,1,0.761,geen,1
VIS-001325,vial,Lijn_1,207,14823,418.2,1.084,1.026,0.852,174.8,10.6,0.912,4.79,0.79,0.28,0.771,0.13,0.064,2,0.898,geen,1
VIS-001326,tablet,Lijn_2,299,7923,306.5,1.055,1.017,0.807,161.7,16.9,0.899,16.44,0.821,0.29,0.811,0.19,0.0391,3,0.877,geen,1
VIS-001327,vial,Lijn_3,153,13318,469.4,0.863,1.016,0.894,180.5,8.6,0.91,5.82,0.834,0.335,0.789,0.138,0.0563,0,0.386,vulniveau,0
VIS-001328,vial,Lijn_2,299,15188,459.7,0.865,1.036,0.875,138.7,13.2,1.005,3.12,0.879,0.205,0.838,0.162,0.0475,0,0.897,geen,1
VIS-001329,vial,Lijn_3,140,14934,443.2,0.972,1.001,0.836,170.1,12.5,0.978,2.73,0.758,0.251,0.826,0.153,0.0466,1,0.76,geen,1
VIS-001330,vial,Lijn_1,204,15207,447.2,0.953,1.022,0.819,181.5,13.9,0.924,9.56,0.828,0.265,0.799,0.123,0.0585,3,0.778,geen,1
VIS-001331,capsule,Lijn_2,302,6253,279.3,1.069,0.986,0.806,163.8,11.9,0.924,4.56,0.913,0.336,0.813,0.142,0.0482,3,0.942,geen,1
VIS-001332,tablet,Lijn_3,153,7733,303.4,1.075,0.961,0.855,175.2,4.5,0.9,9.02,0.905,0.326,0.761,0.122,0.0526,2,0.769,geen,1
VIS-001333,tablet,Lijn_1,201,7990,319.6,0.976,1.017,0.824,148.8,11.6,0.895,10.02,0.866,0.276,0.76,0.126,0.0531,2,0.867,geen,1
VIS-001334,vial,Lijn_3,141,16022,446.1,1.03,0.947,0.798,160.7,7.1,0.935,2.52,0.828,0.311,0.803,0.176,0.0457,1,0.728,geen,1
VIS-001335,tablet,Lijn_2,291,8411,324.9,1.003,1.0,0.91,193.6,19.6,0.919,17.97,0.807,0.297,0.745,0.135,0.0497,3,0.381,deeltje,0
VIS-001336,capsule,Lijn_1,194,6137,288.1,0.918,1.019,0.895,181.7,8.8,0.94,2.41,0.916,0.158,0.726,0.104,0.0398,1,0.663,geen,1
VIS-001337,capsule,Lijn_1,199,6280,289.2,0.915,1.0,0.91,197.0,10.0,0.918,3.72,0.817,0.317,0.813,0.125,0.0479,1,0.795,geen,1
VIS-001338,capsule,Lijn_1,197,5693,276.2,0.949,0.972,0.88,205.2,12.4,0.938,4.73,0.827,0.328,0.782,0.144,0.041,1,0.74,geen,1
VIS-001339,vial,Lijn_3,146,15804,469.1,0.948,0.966,0.863,193.3,10.7,0.946,3.32,0.84,0.279,0.77,0.126,0.0542,1,0.825,geen,1
VIS-001340,capsule,Lijn_1,205,5584,266.4,1.001,1.029,0.92,186.6,11.8,0.936,11.19,0.862,0.284,0.708,0.151,0.0284,3,0.892,geen,1
VIS-001341,tablet,Lijn_1,209,7959,323.5,0.944,0.985,0.855,198.3,17.4,0.922,7.05,0.787,0.371,0.785,0.141,0.0387,1,0.673,geen,1
VIS-001342,tablet,Lijn_2,300,8091,317.6,1.04,1.028,0.819,181.7,10.3,0.904,5.19,0.815,0.223,0.738,0.134,0.0648,1,0.752,geen,1
VIS-001343,tablet,Lijn_3,142,8307,330.0,0.972,1.027,0.849,185.9,17.2,0.889,3.6,0.968,0.294,0.771,0.187,0.0471,2,0.716,geen,1
VIS-001344,tablet,Lijn_1,192,7781,330.8,0.943,0.983,0.819,197.7,13.7,0.914,9.22,0.825,0.341,0.822,0.164,0.0499,2,0.714,geen,1
VIS-001345,tablet,Lijn_2,306,8299,318.2,1.021,0.999,0.832,159.2,23.3,0.926,17.6,0.902,0.344,0.71,0.198,0.0516,3,0.416,deeltje,0
VIS-001346,tablet,Lijn_2,308,7875,326.1,0.94,1.053,0.828,172.4,12.3,0.929,8.64,0.805,0.346,0.8,0.115,0.0499,2,0.859,geen,1
VIS-001347,capsule,Lijn_1,197,6108,281.9,0.95,1.001,0.831,169.0,1.9,0.913,20.65,0.806,0.232,0.747,0.173,0.0437,3,0.936,geen,1
VIS-001348,capsule,Lijn_3,155,6196,278.0,1.021,1.019,0.837,186.1,15.5,0.941,5.82,0.792,0.379,0.804,0.109,0.0731,0,0.813,geen,1
VIS-001349,vial,Lijn_1,203,14546,429.3,1.006,0.997,0.834,186.3,13.1,0.95,6.42,0.771,0.314,0.831,0.124,0.0462,3,0.938,geen,1
