sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-01422,224.1,19.38,81.2,4.1,1.0,701.4,72.8,0.5,89.8,0,0,0,86.0,9.93,12.87
AL-01423,202.2,10.03,78.6,5.7,7.83,752.9,22.0,2.5,92.4,0,0,0,89.1,4.49,6.05
AL-01424,136.6,13.83,82.8,8.5,9.86,8.6,25.6,6.7,85.4,0,1,0,74.7,8.38,10.12
AL-01425,274.6,12.51,44.3,4.8,0.31,142.4,11.0,4.3,96.0,0,0,0,95.3,9.41,13.36
AL-01426,224.5,13.2,91.4,5.1,0.84,638.5,8.1,10.9,96.6,0,0,0,96.8,7.51,10.75
AL-01427,236.3,15.88,10.2,5.1,6.17,885.7,74.1,3.9,90.8,0,0,0,91.3,9.4,12.37
AL-01428,241.1,9.68,94.2,4.5,5.82,725.0,28.7,3.4,67.3,0,2,0,61.8,6.71,7.75
AL-01429,248.6,19.43,80.7,9.8,0.78,232.8,40.3,0.8,88.4,0,0,0,88.6,10.46,13.26
AL-01430,253.5,13.37,24.2,6.1,6.66,413.7,76.7,9.4,95.2,0,0,0,104.0,8.17,11.47
AL-01431,295.4,8.96,20.5,9.0,1.62,696.0,91.2,12.6,56.5,0,2,0,64.5,10.71,14.68
AL-01432,105.6,19.39,41.1,9.3,1.19,229.3,75.7,5.9,82.0,0,1,0,85.9,9.67,11.02
AL-01433,158.0,19.04,15.4,9.3,8.64,367.7,20.1,5.5,84.7,0,3,0,94.1,9.49,11.33
AL-01434,154.4,6.03,58.3,4.9,5.7,989.5,41.9,4.8,45.5,1,2,0,38.3,13.24,21.04
AL-01435,293.6,6.25,28.0,9.4,2.63,340.0,47.5,3.0,85.1,0,3,0,89.7,11.42,13.73
AL-01436,223.3,17.16,18.3,9.0,3.02,228.3,81.9,9.1,88.0,0,0,0,92.0,9.15,11.52
AL-01437,135.9,3.29,78.8,5.5,8.69,759.0,70.7,5.9,63.2,0,2,0,63.5,7.16,8.85
AL-01438,160.5,7.89,96.4,5.3,6.6,732.8,26.3,13.2,61.5,0,2,0,57.7,5.37,6.82
AL-01439,193.7,12.03,65.2,5.3,6.96,768.6,30.6,2.3,72.5,0,2,0,66.4,5.84,6.14
AL-01440,178.0,13.67,22.2,4.8,8.39,867.5,71.6,12.6,79.0,0,2,0,77.1,6.21,6.71
AL-01441,211.3,2.34,53.6,8.5,4.88,379.1,62.0,12.2,88.8,0,3,0,84.9,7.23,9.23
AL-01442,287.6,15.28,60.5,9.4,6.8,470.8,97.8,13.8,93.8,0,0,0,100.7,10.62,14.61
AL-01443,274.7,18.5,52.6,6.8,6.84,595.7,84.4,1.3,92.5,0,0,0,80.1,10.87,14.67
AL-01444,149.7,19.11,86.9,9.2,3.69,285.5,90.0,2.3,95.4,0,1,0,93.6,7.06,9.95
AL-01445,151.5,3.15,39.0,7.1,6.32,286.8,45.8,3.0,76.9,0,3,0,73.4,7.6,7.89
AL-01446,111.0,11.49,21.6,6.0,5.93,562.5,20.8,4.5,52.4,0,2,0,55.0,8.72,12.66
AL-01447,136.7,16.94,74.6,7.1,2.09,141.4,35.6,2.5,74.4,0,1,0,74.0,7.06,7.15
AL-01448,284.9,19.93,97.2,6.3,2.63,124.6,44.9,10.1,95.2,0,0,0,97.7,12.02,16.87
AL-01449,120.4,5.41,36.8,8.7,3.84,442.0,63.6,8.1,83.2,0,1,0,87.8,8.53,9.92
AL-01450,188.8,7.59,35.5,7.4,1.25,696.0,56.6,12.7,60.9,0,2,0,70.7,5.16,6.62
AL-01451,285.6,15.07,71.3,4.2,1.72,802.9,65.2,12.5,95.4,0,0,0,87.6,10.38,14.6
AL-01452,247.8,11.93,57.9,6.0,0.28,99.4,1.0,9.4,97.7,0,0,0,94.1,8.27,12.03
AL-01453,179.3,2.72,54.2,7.5,1.38,517.1,41.7,13.2,59.0,0,2,0,54.9,5.91,7.8
AL-01454,147.5,12.84,38.1,4.9,5.86,860.5,50.3,9.1,73.2,0,2,0,72.1,5.7,5.91
AL-01455,148.0,4.62,75.3,4.7,8.1,493.7,43.6,9.2,84.5,0,3,0,80.8,6.31,7.51
AL-01456,157.4,15.12,80.2,5.0,3.96,692.5,52.8,3.7,46.0,1,2,0,49.6,10.95,17.3
AL-01457,251.7,18.59,82.3,5.0,7.03,362.3,7.3,4.9,87.6,0,0,0,101.5,11.64,14.58
AL-01458,261.3,17.78,67.8,7.6,7.62,151.1,38.8,0.7,94.4,0,0,0,95.3,9.88,13.72
AL-01459,128.5,1.72,38.2,4.9,2.09,310.5,94.2,14.5,89.1,0,3,0,91.1,8.89,11.4
AL-01460,246.4,11.88,98.5,8.4,2.91,644.4,47.2,9.8,95.4,0,0,0,91.8,11.44,16.12
AL-01461,189.2,18.13,87.8,7.9,0.28,423.9,35.4,8.6,82.9,0,3,0,84.6,6.85,7.94
AL-01462,229.8,19.02,66.4,4.0,5.62,605.4,98.7,1.5,90.2,0,0,0,88.6,8.67,11.31
AL-01463,222.7,15.45,41.0,6.9,8.78,12.1,81.5,7.9,85.6,0,0,0,86.7,8.48,10.28
AL-01464,293.4,3.51,22.8,4.1,6.46,178.3,48.5,1.4,82.7,0,3,0,82.7,15.3,17.65
AL-01465,270.2,4.8,53.8,5.7,9.4,84.8,75.0,13.1,90.3,0,3,0,104.5,9.67,12.63
AL-01466,285.8,15.49,89.7,7.9,3.24,712.5,79.8,12.5,97.4,0,0,0,94.6,11.02,15.96
AL-01467,295.2,3.11,74.5,5.0,0.7,989.8,25.3,4.5,70.3,0,2,0,73.7,11.65,12.75
AL-01468,263.1,5.2,17.0,5.4,3.55,244.3,36.5,11.2,87.8,0,3,0,83.3,9.7,12.18
AL-01469,142.3,2.62,58.1,7.8,5.17,969.4,12.2,10.0,77.1,0,1,0,73.7,7.19,7.49
AL-01470,294.9,9.36,51.5,9.9,6.84,74.6,2.3,12.7,70.5,1,3,0,65.8,14.44,15.74
AL-01471,263.7,16.3,26.7,9.7,4.13,232.6,42.1,7.8,92.4,0,0,0,94.1,10.24,13.8
AL-01472,197.0,13.57,43.4,5.5,5.3,722.6,9.4,14.2,64.7,0,2,0,66.8,5.18,6.25
AL-01473,197.1,6.32,18.2,9.9,5.09,766.9,68.1,10.2,68.6,0,2,0,80.4,5.92,6.67
AL-01474,236.7,7.56,44.6,9.2,2.12,319.0,27.5,11.9,83.4,0,3,0,78.3,7.33,8.56
AL-01475,113.8,4.95,14.1,7.2,8.1,603.6,97.0,12.2,79.7,0,1,0,83.2,9.61,10.51
AL-01476,127.2,2.59,71.0,6.6,3.91,980.8,42.0,2.1,64.5,0,2,0,70.0,8.81,10.66
AL-01477,155.4,11.02,45.9,4.8,4.07,479.5,68.2,8.2,84.1,0,3,0,86.5,5.49,6.49
AL-01478,232.1,2.4,49.9,8.2,8.59,369.3,99.2,10.0,86.5,0,3,0,85.2,9.07,11.15
AL-01479,115.2,10.76,39.1,8.3,9.32,548.5,75.9,6.8,81.4,0,1,0,84.7,6.39,7.21
AL-01480,165.3,3.25,90.7,6.8,2.97,911.0,2.7,1.7,62.5,0,2,0,62.0,7.14,8.93
AL-01481,236.3,2.41,61.2,4.9,5.11,956.1,7.9,7.9,57.2,0,2,0,59.9,9.75,13.22
AL-01482,246.3,11.07,38.8,7.1,4.06,323.6,94.1,13.7,90.8,0,0,0,96.0,7.27,9.57
AL-01483,104.8,10.68,27.5,8.0,6.08,174.4,50.4,10.0,76.4,0,1,0,73.0,9.86,10.13
AL-01484,295.6,5.73,20.6,7.7,2.71,752.6,59.8,9.3,67.8,0,2,0,75.9,10.57,12.1
AL-01485,266.0,2.46,82.4,5.9,9.71,237.6,74.0,8.5,90.3,0,3,0,94.0,10.32,13.49
AL-01486,120.3,1.78,23.6,5.2,0.44,667.6,99.3,9.9,56.4,0,2,0,58.6,9.26,12.71
AL-01487,109.9,16.9,56.3,6.8,7.78,22.4,35.9,13.6,84.6,0,3,0,93.4,9.52,11.34
AL-01488,205.7,13.02,12.6,8.8,0.95,660.5,73.5,5.6,90.8,0,0,0,98.5,5.66,7.45
AL-01489,115.3,18.59,16.7,4.8,8.88,946.3,55.2,9.8,66.5,0,2,0,71.3,9.22,10.78
AL-01490,183.4,5.42,27.1,5.1,4.28,939.6,26.1,11.0,71.4,0,2,0,75.0,5.53,5.93
AL-01491,219.6,3.5,45.7,8.5,9.54,743.0,30.9,14.2,69.1,0,2,0,63.2,8.41,9.39
AL-01492,165.8,2.71,35.9,5.8,1.9,464.3,23.1,14.2,86.0,0,3,0,85.1,7.19,8.77
AL-01493,196.9,10.09,12.8,6.5,2.86,478.0,21.7,7.4,83.0,0,3,0,87.8,4.94,5.74
AL-01494,175.8,11.49,81.6,6.7,0.34,627.0,75.6,6.2,62.2,0,2,0,66.9,4.16,5.22
AL-01495,232.0,9.22,94.8,6.8,5.75,887.8,6.9,1.4,51.8,1,2,0,56.3,11.2,16.4
AL-01496,159.7,12.49,35.2,6.1,8.68,629.4,2.3,0.2,61.7,0,2,0,66.5,4.78,6.05
AL-01497,243.5,7.91,10.6,5.6,1.73,418.2,36.6,6.6,86.6,0,3,0,92.2,7.76,9.56
AL-01498,216.5,3.45,90.5,5.1,6.75,770.4,47.8,8.8,66.9,0,2,0,61.4,9.74,11.32
AL-01499,154.7,15.44,77.5,6.4,6.08,358.2,82.3,11.6,78.7,0,3,0,82.8,9.54,10.25
AL-01500,191.3,14.71,97.4,4.7,2.76,449.1,4.7,2.5,84.1,0,3,0,83.1,5.38,6.36
AL-01501,264.5,1.59,66.4,8.9,3.32,712.1,68.1,8.3,60.7,0,2,0,61.8,11.22,14.42
AL-01502,285.8,17.54,42.8,6.6,7.09,899.4,48.9,14.3,93.0,0,0,0,97.6,11.72,15.94
AL-01503,239.9,17.47,78.1,9.0,4.38,548.8,91.4,7.7,91.4,0,0,0,93.4,9.17,12.18
AL-01504,223.3,7.9,47.6,5.6,3.19,846.8,32.7,5.4,64.3,0,2,0,62.9,8.71,10.58
AL-01505,281.3,6.32,65.7,5.6,5.36,781.5,77.7,12.6,58.2,0,2,0,58.2,12.86,17.17
AL-01506,264.8,1.94,38.6,6.4,9.24,739.4,87.3,10.2,56.5,0,2,0,58.8,10.09,13.83
AL-01507,247.0,8.68,21.4,7.4,9.33,341.9,28.3,9.1,85.0,0,3,0,81.4,7.0,8.4
AL-01508,269.6,19.05,65.5,5.6,5.97,59.7,5.0,15.0,65.0,1,0,0,64.9,15.83,19.0
AL-01509,251.8,18.69,49.6,4.3,7.43,997.4,25.2,9.3,93.8,0,0,0,95.7,9.72,13.38
AL-01510,221.8,10.02,45.2,5.0,9.07,708.1,95.0,7.1,87.7,0,0,0,92.9,5.5,6.9
AL-01511,163.7,6.64,16.8,9.1,0.8,635.9,27.2,4.7,71.5,0,2,0,67.1,4.97,5.31
AL-01512,122.6,10.79,42.5,8.4,8.28,828.2,45.5,9.8,86.5,0,1,0,89.6,6.24,7.68
AL-01513,189.8,6.92,78.7,7.1,7.84,741.7,96.1,8.7,59.1,0,2,0,61.7,5.08,6.69
AL-01514,176.5,17.02,94.7,8.8,1.78,659.3,42.6,11.9,69.7,0,2,0,69.8,5.53,6.11
AL-01515,119.2,1.89,89.1,8.5,2.17,339.2,42.5,5.0,76.3,0,1,0,70.9,8.57,8.79
AL-01516,282.4,10.33,13.0,4.8,9.28,629.7,42.7,11.8,97.1,0,0,0,94.1,9.56,13.79
AL-01517,247.9,4.72,39.3,7.4,6.39,86.0,91.2,8.8,90.3,0,3,0,86.9,8.44,11.02
AL-01518,254.8,7.9,59.0,6.8,4.99,794.8,45.5,9.0,61.1,0,2,0,56.0,8.01,10.23
AL-01519,205.9,2.92,61.2,5.4,1.67,812.2,43.4,6.5,67.7,0,2,0,64.6,6.72,7.7
AL-01520,204.5,6.14,62.5,9.8,7.71,674.1,73.3,11.4,55.6,0,2,0,48.2,6.35,8.81
AL-01521,225.7,4.06,94.9,8.0,4.08,729.0,80.0,5.0,64.0,0,2,0,65.0,7.76,9.47
AL-01522,275.3,2.87,10.9,7.9,8.22,469.6,8.8,12.6,90.4,0,3,0,93.3,11.04,14.44
AL-01523,123.4,7.65,89.0,6.5,4.81,866.3,50.4,12.2,65.9,0,2,0,56.2,7.87,9.29
AL-01524,255.9,19.94,79.1,7.2,9.45,350.1,54.5,2.8,91.6,0,0,0,95.9,10.75,14.32
AL-01525,105.7,7.85,12.2,6.1,5.32,537.9,48.2,0.9,51.7,0,2,0,52.0,8.4,12.31
AL-01526,257.4,4.29,46.6,4.8,3.98,266.5,28.8,5.2,82.9,0,3,0,84.5,9.01,10.43
AL-01527,180.8,18.24,24.6,4.1,0.51,681.0,1.3,14.1,73.3,0,2,0,70.2,5.93,6.13
AL-01528,284.7,16.4,50.0,5.8,7.12,557.1,42.3,13.4,100.0,0,0,0,97.4,11.09,16.63
AL-01529,215.6,16.79,47.7,4.4,5.13,96.8,4.0,7.4,90.4,0,0,0,98.2,7.59,9.92
AL-01530,261.7,18.38,94.3,5.9,3.6,360.0,99.1,2.6,95.1,0,0,0,93.6,10.79,15.14
AL-01531,153.3,3.61,30.0,4.7,1.4,672.5,13.5,7.7,64.6,0,2,0,65.2,6.02,7.26
AL-01532,259.0,8.5,59.5,7.8,5.52,421.1,44.7,2.1,83.5,0,3,0,85.2,9.16,10.72
AL-01533,259.3,14.58,83.8,8.3,5.1,245.7,2.4,6.1,94.3,0,0,0,88.9,8.65,11.98
AL-01534,293.3,8.71,54.6,9.1,5.54,383.9,0.3,14.8,88.6,0,3,0,93.4,9.81,12.48
AL-01535,153.6,1.22,41.6,7.5,8.95,766.2,74.0,9.2,70.1,0,2,0,70.1,8.7,9.56
AL-01536,217.6,4.35,54.9,4.3,7.45,413.4,87.8,3.4,77.7,0,3,0,72.4,7.46,7.86
AL-01537,181.2,11.53,75.7,9.4,6.25,917.0,62.1,12.7,72.6,0,2,0,76.3,4.1,4.3
AL-01538,114.3,18.24,74.9,5.2,4.25,339.3,92.9,6.1,82.3,0,3,0,80.4,9.01,10.34
AL-01539,226.8,16.81,92.0,9.7,5.9,456.7,56.2,3.6,90.7,0,0,0,83.7,8.52,11.19
AL-01540,228.3,17.43,49.0,5.9,7.44,956.8,22.6,1.9,92.6,0,0,0,97.9,7.93,10.73
AL-01541,134.9,15.23,26.2,6.4,9.83,54.2,90.8,11.8,55.3,1,3,0,61.6,14.22,19.81
AL-01542,140.4,15.14,40.6,8.0,4.34,691.9,39.9,12.7,72.3,0,1,0,72.4,6.71,7.07
AL-01543,207.3,14.54,64.0,9.0,6.62,995.8,94.4,4.1,87.9,0,0,1,90.2,8.23,10.35
AL-01544,102.8,5.82,54.9,6.3,9.91,46.9,85.8,2.0,66.2,1,3,0,71.9,14.23,16.73
AL-01545,235.2,9.35,15.5,6.1,7.42,290.2,71.3,2.5,78.7,0,3,0,87.8,7.39,7.93
AL-01546,214.0,2.43,87.5,6.8,7.79,774.3,23.7,1.9,49.4,1,2,0,50.3,12.4,18.76
AL-01547,122.2,9.52,92.0,7.1,7.96,11.7,99.7,11.3,83.9,0,1,0,83.5,8.79,10.35
AL-01548,238.2,16.8,84.5,5.1,5.91,807.2,39.9,10.6,91.5,0,0,0,95.1,8.58,11.41
AL-01549,225.8,9.79,47.7,9.9,0.8,608.5,32.5,3.1,68.6,0,2,0,73.9,6.66,7.52
AL-01550,185.3,16.22,93.8,6.8,1.64,120.8,24.1,0.8,80.4,0,3,0,89.0,6.08,6.74
AL-01551,101.4,18.78,72.7,6.5,1.08,451.1,17.4,11.9,77.9,0,3,0,77.5,9.96,10.53
AL-01552,105.7,5.11,66.6,5.8,8.41,174.7,19.9,11.8,82.6,0,3,0,88.0,10.93,12.6
AL-01553,154.1,10.63,63.0,7.0,7.01,47.8,50.9,8.8,65.0,1,3,0,54.2,9.83,11.8
AL-01554,205.6,5.42,40.5,4.4,2.65,92.1,60.3,1.7,76.6,0,3,0,80.3,6.24,6.43
AL-01555,255.6,14.51,88.9,6.9,5.55,866.2,11.2,10.0,90.1,0,0,0,89.1,8.74,11.37
AL-01556,179.5,9.16,78.3,7.7,4.31,310.6,0.3,1.1,84.6,0,3,0,80.0,4.28,5.1
AL-01557,261.9,5.95,51.6,6.2,0.3,17.2,45.6,5.4,83.7,0,3,0,88.3,9.39,11.03
AL-01558,178.0,14.67,94.7,8.1,7.25,205.2,61.4,14.8,85.4,0,3,0,87.6,5.05,6.09
AL-01559,163.3,17.03,23.7,5.3,6.56,944.1,22.5,3.3,63.4,0,2,0,57.5,6.99,8.61
AL-01560,184.4,15.06,44.0,5.4,8.95,753.9,98.3,11.6,61.5,0,2,0,62.8,7.25,9.2
AL-01561,170.7,5.14,57.9,6.1,4.35,769.6,81.2,2.2,64.8,0,2,0,80.5,4.84,5.82
AL-01562,158.8,5.97,38.7,7.2,6.65,229.2,97.1,6.7,76.3,0,3,0,71.3,8.44,8.67
AL-01563,107.1,5.7,95.2,7.4,4.36,195.6,79.0,1.1,80.0,0,1,0,78.9,8.27,9.09
AL-01564,162.4,10.33,33.3,6.7,0.45,747.7,85.6,0.4,64.2,0,2,0,64.0,4.15,5.05
AL-01565,161.2,7.42,46.5,7.2,7.36,213.1,93.7,13.0,89.0,0,3,0,86.2,4.6,5.89
AL-01566,193.0,18.87,19.5,4.9,9.36,333.3,38.7,7.1,81.8,0,3,0,89.6,7.4,8.4
AL-01567,270.8,10.21,61.3,8.1,7.0,896.9,73.7,4.5,95.4,0,0,0,86.9,8.55,12.03
AL-01568,271.4,9.19,39.3,8.0,8.21,830.2,3.7,2.6,62.9,0,2,0,66.9,9.7,12.04
AL-01569,234.4,5.49,66.7,4.4,5.2,738.5,93.6,4.9,60.5,0,2,0,64.6,7.82,10.09
AL-01570,131.3,5.02,19.5,5.8,5.54,793.8,79.6,11.4,60.2,0,2,0,57.9,8.48,10.99
AL-01571,185.4,2.47,52.2,6.1,0.62,685.7,3.7,4.4,69.1,0,2,0,63.2,5.82,6.51
AL-01572,169.0,11.77,87.9,7.8,2.23,639.2,33.9,14.7,69.1,0,2,0,80.6,3.87,4.32
AL-01573,103.2,6.17,96.0,9.1,3.66,392.9,88.3,10.3,80.7,0,1,0,83.5,11.39,12.69
AL-01574,152.3,11.54,30.8,7.0,4.43,546.0,1.6,3.6,70.7,0,2,0,64.9,5.06,5.49
AL-01575,185.1,10.6,56.3,6.0,1.37,359.3,6.6,9.2,88.4,0,3,0,86.3,5.4,6.84
AL-01576,293.3,7.28,25.6,7.3,8.43,215.3,74.6,12.6,89.7,0,3,0,97.4,10.96,14.17
AL-01577,168.7,17.9,48.7,6.5,3.07,538.6,3.3,6.2,65.9,0,2,0,64.7,6.59,7.79
AL-01578,286.6,13.72,82.7,5.6,2.78,135.4,1.6,5.9,97.2,0,0,0,97.3,9.9,14.29
AL-01579,271.4,6.03,93.8,6.2,8.04,772.6,77.4,3.6,54.0,0,2,0,51.9,11.44,16.24
AL-01580,213.7,9.54,86.9,4.6,1.61,608.1,10.8,1.1,72.2,0,2,0,74.7,5.55,5.87
AL-01581,147.4,1.47,96.5,4.3,5.02,358.2,19.3,9.3,79.8,0,3,0,78.0,7.02,7.7
AL-01582,113.9,18.92,40.5,9.1,6.83,666.3,42.6,5.2,79.5,0,1,0,75.2,8.84,9.64
AL-01583,186.3,5.65,11.2,8.1,6.21,192.1,74.1,13.5,84.7,0,3,0,84.1,4.89,5.84
AL-01584,130.3,1.94,97.0,9.7,7.15,249.0,49.9,13.2,61.1,1,1,0,55.8,13.37,17.07
AL-01585,263.5,19.87,58.1,7.1,9.36,974.9,99.5,14.4,85.3,0,0,0,90.6,11.42,13.77
AL-01586,106.2,8.17,93.9,4.9,2.42,410.9,6.7,10.0,84.0,0,3,0,87.1,7.96,9.39
AL-01587,235.0,6.53,25.1,6.5,2.33,964.0,3.6,4.4,69.4,0,2,0,66.6,7.53,8.37
AL-01588,153.0,11.0,84.3,7.3,7.83,625.4,7.2,14.0,68.3,0,2,0,70.7,5.0,5.67
AL-01589,106.3,6.21,69.2,10.0,2.76,732.9,78.8,10.0,76.8,0,1,0,77.5,8.59,8.9
AL-01590,251.0,8.37,60.3,5.1,2.13,183.3,76.1,12.8,68.6,1,3,0,69.4,12.36,13.94
AL-01591,176.8,6.89,45.5,5.6,5.0,80.7,1.9,8.0,81.4,0,3,0,77.4,4.21,4.75
AL-01592,195.8,9.24,80.0,4.7,5.52,731.9,31.1,5.8,61.0,0,2,0,58.4,5.33,6.82
AL-01593,144.1,1.59,51.3,8.7,8.67,516.2,69.0,3.6,73.7,0,1,0,80.2,10.08,10.35
AL-01594,252.7,7.31,26.0,5.0,0.4,691.8,38.4,4.3,65.6,0,2,0,75.8,7.72,9.17
AL-01595,131.5,4.42,23.5,6.0,5.11,420.2,32.7,4.7,62.0,1,3,0,62.4,12.02,15.16
AL-01596,195.4,11.65,60.6,9.6,8.13,540.0,84.1,9.6,70.1,0,2,0,69.4,4.87,5.35
AL-01597,282.7,4.65,29.0,7.7,9.69,641.6,65.6,11.4,67.5,0,2,0,63.4,12.65,14.55
AL-01598,115.7,3.48,53.1,4.8,7.96,914.0,56.3,12.1,69.0,0,2,0,62.7,8.9,9.97
AL-01599,189.7,10.51,68.7,7.6,4.2,885.1,32.4,9.8,70.8,0,2,0,69.1,4.75,5.15
AL-01600,129.6,4.56,60.2,6.8,4.86,702.4,83.3,12.0,71.0,0,2,0,76.1,7.92,8.55
AL-01601,204.7,10.54,72.0,5.2,7.59,566.4,83.4,2.8,94.2,0,0,0,94.1,4.96,6.87
AL-01602,113.2,19.14,92.4,8.8,7.76,918.0,32.7,8.3,72.9,0,1,0,64.4,9.26,9.65
AL-01603,133.0,18.33,25.7,7.1,3.41,869.7,55.3,9.0,82.5,0,1,0,83.4,7.94,9.13
AL-01604,134.1,8.46,73.5,10.0,1.6,944.3,77.5,3.5,82.6,0,1,0,85.5,7.15,8.23
AL-01605,263.1,13.74,50.5,9.6,4.0,652.5,16.8,10.2,95.7,0,0,0,90.7,9.19,12.99
AL-01606,278.3,11.8,38.7,9.1,6.06,719.6,29.4,1.9,97.8,0,0,0,101.1,9.37,13.64
AL-01607,124.2,7.56,33.6,6.1,4.17,147.1,17.2,0.2,81.6,0,3,0,82.4,6.56,7.43
AL-01608,194.8,14.41,87.5,7.7,8.84,289.1,91.9,3.9,79.3,0,3,0,91.7,5.6,6.08
AL-01609,243.3,6.39,87.4,6.4,8.66,486.7,85.2,3.7,80.4,0,3,0,77.7,7.82,8.67
AL-01610,292.1,5.87,83.7,5.9,9.6,556.5,89.0,12.3,44.3,1,2,0,45.4,17.26,27.84
AL-01611,216.9,13.04,83.5,6.4,2.86,410.2,32.9,4.5,92.9,0,0,0,94.8,7.18,9.76
AL-01612,127.2,12.72,72.5,6.9,3.99,571.4,68.6,10.2,37.4,1,2,0,37.2,14.36,25.16
AL-01613,262.7,17.99,13.2,8.8,3.69,672.3,80.4,6.8,92.9,0,0,0,97.4,10.72,14.56
AL-01614,242.4,5.02,64.3,5.1,9.76,627.6,62.9,0.2,72.9,0,2,0,69.6,8.71,9.08
AL-01615,206.2,6.68,90.6,5.7,1.0,151.8,98.2,12.1,90.6,0,3,0,88.1,6.07,7.97
AL-01616,109.9,11.26,77.0,7.5,5.85,89.7,38.5,1.0,80.2,0,1,0,76.5,6.75,7.45
AL-01617,245.9,19.84,96.6,8.5,6.78,592.3,24.0,12.8,88.8,0,0,0,76.5,11.01,14.04
AL-01618,262.5,16.79,62.5,4.7,5.9,651.8,75.0,9.6,89.0,0,0,0,77.4,10.12,12.96
AL-01619,171.7,8.87,61.4,4.1,6.69,291.8,23.4,3.3,82.5,0,3,0,87.8,4.19,4.82
AL-01620,287.4,18.35,50.0,6.9,1.6,459.3,15.5,9.0,95.6,0,0,0,87.6,12.02,16.98
AL-01621,182.4,10.11,88.2,4.2,5.18,951.5,68.5,1.3,69.3,0,2,0,65.2,3.81,4.24
AL-01622,186.5,15.6,95.7,4.7,1.08,517.6,75.7,1.0,54.9,0,2,0,55.2,5.73,8.03
AL-01623,179.9,3.58,63.8,9.0,7.26,210.8,77.6,7.2,82.9,0,3,0,79.1,5.39,6.25
AL-01624,275.9,4.03,91.7,8.6,7.67,381.5,19.2,2.6,82.5,0,3,1,83.6,10.81,12.42
AL-01625,163.0,3.42,36.3,4.7,1.28,455.7,1.3,10.5,81.6,0,3,0,86.4,5.91,6.69
AL-01626,149.0,2.48,46.3,5.9,8.13,727.6,1.9,0.5,64.7,0,2,0,61.6,6.58,7.94
AL-01627,139.2,7.34,89.4,5.0,2.49,177.9,49.1,14.3,82.9,0,3,0,79.8,6.27,7.25
AL-01628,146.5,16.75,66.5,8.4,1.08,925.2,55.3,6.2,78.2,0,1,0,77.6,6.68,7.1
AL-01629,118.2,8.38,19.0,6.3,4.2,592.6,48.6,8.2,62.5,0,2,0,65.3,8.19,10.24
AL-01630,142.0,15.28,15.6,7.8,8.37,430.3,77.5,13.6,77.6,0,1,0,79.8,6.41,6.74
AL-01631,208.9,13.93,60.0,5.1,1.99,464.5,25.4,1.5,95.7,0,0,0,101.2,6.17,8.72
AL-01632,168.4,2.54,97.4,5.2,4.49,434.3,39.8,2.5,84.4,0,3,0,79.5,6.24,7.4
AL-01633,284.8,6.17,14.2,9.4,6.56,119.0,26.1,2.1,86.6,0,3,0,83.5,10.84,13.37
AL-01634,172.1,18.45,17.1,7.1,0.13,18.9,43.8,11.3,86.8,0,3,0,84.1,8.93,11.04
AL-01635,104.5,9.23,35.7,9.8,5.93,938.5,89.5,5.5,82.4,0,1,0,93.7,7.04,8.09
AL-01636,121.3,15.41,98.4,8.9,0.52,476.5,95.6,7.6,49.7,1,1,0,53.7,12.72,19.16
AL-01637,222.1,14.64,49.4,4.2,9.92,824.2,6.1,9.7,92.5,0,0,0,95.3,7.69,10.39
AL-01638,289.8,5.61,93.5,9.6,2.08,211.5,21.5,0.1,84.1,0,3,0,92.9,10.31,12.18
AL-01639,181.3,1.38,11.2,7.2,10.0,889.9,52.8,14.7,67.1,0,2,0,65.7,6.65,7.7
AL-01640,178.8,3.68,97.4,8.2,7.8,696.0,45.5,11.8,61.5,0,2,0,60.8,5.44,6.91
AL-01641,199.2,6.94,32.5,9.1,7.96,849.5,42.1,11.8,70.6,0,2,0,67.4,6.04,6.57
AL-01642,264.9,1.42,27.8,6.4,1.27,602.3,35.8,3.6,55.4,0,2,0,51.3,11.26,15.67
AL-01643,150.8,8.3,12.5,8.8,2.72,5.5,74.5,5.9,85.8,0,3,0,90.3,4.96,6.04
AL-01644,239.7,15.62,80.6,5.2,4.21,461.0,66.9,8.7,94.2,0,0,0,103.2,8.9,12.32
AL-01645,254.8,15.75,13.2,5.5,1.18,347.5,59.0,8.4,96.3,0,0,0,93.5,8.87,12.66
AL-01646,285.9,12.02,94.8,4.6,4.8,794.4,80.8,7.8,95.8,0,0,0,100.4,12.0,17.0
AL-01647,265.3,14.55,41.2,8.5,3.44,509.1,38.1,1.7,94.6,0,0,0,92.8,9.08,12.63
AL-01648,207.8,12.08,69.1,6.5,5.88,526.2,74.8,14.4,100.0,0,0,0,97.2,5.83,8.75
AL-01649,110.7,17.55,81.0,4.5,1.14,587.0,69.2,6.1,61.9,0,2,0,68.3,8.91,11.23
AL-01650,187.6,14.57,10.3,8.2,7.54,949.6,0.8,7.4,64.0,0,2,0,59.9,8.73,10.66
AL-01651,116.4,13.17,76.5,8.0,2.0,277.1,54.9,7.5,61.7,1,1,0,74.9,12.0,15.2
AL-01652,133.5,11.36,59.9,8.9,2.32,170.0,65.8,14.7,81.3,0,1,0,83.7,6.45,7.26
