tablet_id,deeltjesgrootte_um,vochtgehalte_pct,menguniformiteit_pct,perskracht_kN,voorcompressie_kN,draaisnelheid_RPM,vuldiepte_mm,gewicht_mg,dikte_mm,hardheid_N,brosheid_pct,dissolutie_30min_pct,goedgekeurd
TAB-00249,33.4,2.49,99.1,15.8,3.8,22,11.69,343.3,3.96,87.8,0.294,78.0,1
TAB-00250,58.3,3.25,101.5,14.8,2.9,51,11.81,345.6,3.99,83.8,0.546,84.5,1
TAB-00251,57.4,2.15,96.4,18.6,2.7,27,12.21,345.5,3.75,106.1,0.289,78.3,1
TAB-00252,48.6,2.87,96.2,16.2,3.3,29,12.16,356.0,3.95,89.8,0.38,76.9,1
TAB-00253,57.9,1.72,97.5,13.2,3.7,38,11.55,349.7,4.1,83.5,0.412,86.6,1
TAB-00254,59.3,2.33,99.6,14.0,2.4,43,12.38,348.0,4.03,82.4,0.514,86.1,1
TAB-00255,36.2,2.56,99.1,15.1,2.7,33,12.27,344.5,4.06,86.1,0.425,85.7,1
TAB-00256,67.5,3.55,96.2,17.6,3.4,43,12.09,351.9,3.79,102.6,0.469,83.1,1
TAB-00257,34.4,3.34,99.5,17.8,3.1,27,11.78,349.8,3.84,96.8,0.325,78.5,1
TAB-00258,38.6,2.72,95.6,14.2,3.6,21,11.8,349.4,4.05,81.7,0.392,82.7,1
TAB-00259,47.4,3.36,96.3,13.1,3.3,43,11.9,352.4,4.07,65.3,0.627,92.7,1
TAB-00260,69.2,3.44,97.8,12.9,3.9,41,11.38,349.2,4.17,71.9,0.626,93.0,1
TAB-00261,46.9,2.92,96.9,15.5,3.1,48,11.98,346.4,3.95,87.6,0.542,82.1,1
TAB-00262,49.7,2.31,99.8,19.6,3.1,46,12.45,351.7,3.79,97.9,0.388,76.4,1
TAB-00263,64.3,2.9,98.6,16.1,3.2,56,12.44,354.5,4.0,80.2,0.581,81.9,1
TAB-00264,47.0,2.95,101.5,11.8,2.9,38,11.81,346.8,4.1,63.0,0.52,91.1,1
TAB-00265,38.2,2.38,97.5,13.5,3.4,20,12.53,352.3,4.05,76.1,0.385,83.7,1
TAB-00266,45.8,3.18,97.8,13.8,3.1,45,12.95,353.5,4.1,68.6,0.523,89.4,1
TAB-00267,63.7,3.14,100.4,13.4,3.4,47,11.84,355.5,4.1,81.5,0.62,86.4,1
TAB-00268,50.7,3.22,97.8,14.2,3.5,41,12.35,348.2,4.06,74.3,0.57,86.4,1
TAB-00269,69.3,3.14,101.0,15.7,3.2,48,10.87,348.1,3.94,87.1,0.528,82.9,1
TAB-00270,57.4,3.36,99.1,16.4,3.3,33,11.37,342.6,3.85,80.8,0.542,84.5,1
TAB-00271,43.6,2.91,93.3,17.2,2.5,26,12.05,355.4,3.93,87.8,0.402,81.2,1
TAB-00272,50.5,3.1,100.4,16.0,2.7,47,11.5,344.3,3.92,87.0,0.535,79.9,1
TAB-00273,41.5,2.8,99.8,11.1,3.4,30,13.02,355.3,4.27,72.0,0.53,93.0,1
TAB-00274,43.3,2.71,99.9,12.9,3.7,38,12.3,346.0,4.09,72.6,0.456,83.6,1
TAB-00275,94.8,3.67,94.2,14.7,2.0,40,12.48,349.7,3.98,80.7,0.493,96.5,1
TAB-00276,60.2,1.98,96.7,15.3,2.7,39,11.99,350.6,4.01,90.8,0.436,80.3,1
TAB-00277,58.6,3.44,96.8,16.7,3.0,44,11.5,351.5,3.92,74.0,0.505,86.4,1
TAB-00278,43.8,2.69,96.3,15.1,2.6,21,11.74,348.8,3.89,86.6,0.418,84.2,1
TAB-00279,65.7,2.62,101.5,15.1,2.6,60,12.13,352.1,3.99,73.6,0.544,85.2,1
TAB-00280,61.0,3.13,98.0,15.5,3.2,49,11.68,351.8,3.91,85.8,0.544,81.5,1
TAB-00281,68.8,2.26,97.9,14.5,3.8,37,12.34,348.1,4.09,76.5,0.462,87.3,1
TAB-00282,68.3,2.59,99.1,15.2,2.0,28,12.36,346.8,4.01,85.1,0.421,84.5,1
TAB-00283,35.2,2.58,99.1,17.3,2.9,23,12.0,349.1,3.95,95.1,0.351,79.9,1
TAB-00284,38.9,2.89,91.3,14.8,3.2,47,11.09,343.5,3.9,72.1,0.462,84.2,1
TAB-00285,40.0,2.6,96.7,14.9,3.4,33,12.86,354.6,4.03,80.8,0.331,83.8,1
TAB-00286,40.6,3.8,95.2,14.9,3.2,29,11.89,352.7,3.97,81.9,0.44,84.4,1
TAB-00287,53.2,3.9,98.8,17.6,3.9,35,13.35,356.5,3.99,92.2,0.442,82.2,1
TAB-00288,44.3,1.99,97.4,12.8,3.0,44,12.33,351.7,4.17,67.1,0.453,84.9,1
TAB-00289,70.7,3.27,98.0,18.6,3.7,47,11.9,352.0,3.79,104.5,0.474,77.6,1
TAB-00290,69.0,3.43,93.8,12.6,2.7,46,12.22,354.1,4.16,68.8,0.652,92.3,1
TAB-00291,49.9,3.27,97.4,13.7,3.0,55,10.99,344.3,3.92,69.2,0.649,89.5,1
TAB-00292,69.6,2.67,100.2,16.5,2.4,29,12.51,354.2,3.96,90.7,0.421,82.8,1
TAB-00293,64.9,2.88,100.8,17.1,3.5,45,13.28,357.7,3.99,80.4,0.529,80.9,1
TAB-00294,45.5,2.63,99.4,12.2,2.9,24,10.96,345.9,3.99,67.1,0.411,90.5,1
TAB-00295,29.9,2.79,95.3,12.8,3.2,42,11.86,353.9,4.16,60.8,0.52,88.5,1
TAB-00296,47.8,2.4,100.5,15.6,2.8,43,11.95,349.5,3.93,81.0,0.506,82.3,1
TAB-00297,43.6,2.94,99.4,19.7,3.3,29,12.44,350.3,3.79,102.2,0.323,75.6,1
TAB-00298,52.1,2.25,97.8,17.5,3.2,36,13.05,350.4,4.03,98.9,0.37,81.4,1
TAB-00299,50.9,2.9,93.9,14.5,2.5,53,12.19,354.1,4.08,77.7,0.663,82.1,1
TAB-00300,50.6,2.38,99.9,10.2,2.5,26,13.07,355.2,4.43,67.7,0.5,91.9,1
TAB-00301,55.2,3.1,96.8,15.2,3.0,37,12.09,355.6,4.02,86.3,0.577,86.3,1
TAB-00302,37.9,2.66,98.7,15.7,3.3,57,12.23,344.4,3.96,73.9,0.464,77.2,1
TAB-00303,54.1,3.15,98.1,14.2,3.9,40,12.16,353.8,4.16,78.4,0.492,91.3,1
TAB-00304,45.6,3.54,101.1,13.3,3.2,49,12.61,353.3,4.18,73.3,0.627,90.6,1
TAB-00305,52.0,3.79,97.7,15.3,3.5,53,11.79,349.5,3.96,67.2,0.603,89.7,1
TAB-00306,59.6,1.74,98.0,13.1,2.2,28,12.41,347.2,4.14,87.5,0.312,88.8,1
TAB-00307,37.8,2.58,101.2,18.7,4.0,29,11.38,348.8,3.76,98.8,0.336,76.9,1
TAB-00308,47.2,2.85,96.7,18.0,3.3,50,11.86,350.8,3.82,94.3,0.607,71.6,0
TAB-00309,48.8,3.23,99.6,16.3,3.0,50,11.68,345.4,3.83,84.2,0.548,83.4,1
TAB-00310,44.9,2.17,97.6,15.2,2.9,22,12.04,349.1,4.08,90.1,0.397,82.5,1
TAB-00311,59.0,2.51,96.0,13.7,2.4,33,11.84,350.3,4.05,89.8,0.434,83.4,1
TAB-00312,42.8,3.07,98.0,15.0,2.6,36,12.57,353.5,4.07,76.9,0.496,79.5,1
TAB-00313,44.4,3.04,99.4,18.3,4.0,53,11.56,351.2,3.9,84.8,0.502,79.7,1
TAB-00314,42.9,3.19,100.7,16.7,2.5,37,11.13,345.2,3.79,88.1,0.515,78.0,1
TAB-00315,60.9,3.22,100.9,15.4,2.5,57,11.32,340.3,3.94,76.1,0.642,91.6,1
TAB-00316,45.1,3.17,97.4,16.8,2.6,60,12.5,353.4,3.92,83.5,0.591,82.4,1
TAB-00317,54.6,3.1,96.0,16.1,2.4,51,11.52,348.3,3.91,85.7,0.543,87.4,1
TAB-00318,69.8,3.03,97.4,15.8,3.0,47,12.2,352.0,3.99,85.6,0.435,84.6,1
TAB-00319,49.3,3.33,95.6,17.0,3.5,36,11.85,353.2,3.93,92.6,0.37,84.3,1
TAB-00320,61.1,1.88,97.6,16.0,2.7,23,12.41,344.0,4.05,98.3,0.341,80.3,1
TAB-00321,66.7,3.77,97.3,16.7,2.3,43,11.88,350.3,3.87,94.8,0.563,87.7,1
TAB-00322,60.3,1.9,99.5,15.3,3.1,34,13.38,351.9,4.19,89.3,0.477,75.4,1
TAB-00323,49.8,2.46,93.6,14.5,3.0,34,12.95,350.0,4.19,78.4,0.409,87.1,1
TAB-00324,56.4,2.89,96.5,13.9,3.5,48,11.84,348.8,4.03,79.5,0.478,89.2,1
TAB-00325,37.1,3.34,96.5,13.7,2.8,39,11.77,351.6,4.04,64.4,0.583,87.6,1
TAB-00326,42.2,1.5,100.4,11.8,2.9,50,13.57,355.7,4.29,68.6,0.499,85.3,1
TAB-00327,44.0,2.99,95.8,13.2,2.9,36,11.46,345.2,4.02,70.0,0.437,87.4,1
TAB-00328,72.4,3.4,98.5,13.1,3.0,26,11.97,350.2,4.03,76.9,0.463,91.9,1
TAB-00329,41.9,3.5,97.7,14.0,2.8,38,12.01,353.8,4.09,83.1,0.512,91.8,1
TAB-00330,41.7,2.65,100.1,18.1,2.7,58,12.0,351.3,3.74,95.9,0.576,75.7,1
TAB-00331,39.6,2.85,99.2,14.7,2.1,52,11.13,343.7,3.89,76.7,0.602,79.6,1
TAB-00332,55.6,2.69,98.2,15.5,2.7,28,12.25,348.8,4.0,90.7,0.379,90.8,1
TAB-00333,51.4,2.8,96.9,15.5,3.4,36,11.51,342.0,3.99,82.6,0.527,85.4,1
TAB-00334,60.9,2.48,94.3,18.2,3.4,57,12.72,351.3,3.89,97.7,0.503,76.5,1
TAB-00335,56.7,2.56,98.5,13.8,2.8,25,11.27,340.3,4.01,84.8,0.479,89.9,1
TAB-00336,36.2,3.22,99.1,14.6,3.6,30,12.03,356.8,4.02,79.2,0.537,88.7,1
TAB-00337,41.9,3.07,94.9,14.8,3.0,30,10.89,342.0,3.95,80.3,0.447,86.7,1
TAB-00338,63.7,3.25,95.5,17.3,2.3,43,10.92,348.4,3.8,88.7,0.51,80.4,1
TAB-00339,48.0,3.11,98.5,17.7,2.2,36,11.58,353.6,3.87,93.3,0.413,81.8,1
TAB-00340,61.9,3.35,98.7,15.9,3.6,23,11.65,349.6,3.89,89.0,0.461,88.0,1
TAB-00341,48.5,3.44,96.0,17.5,2.8,45,12.73,354.2,3.9,91.4,0.503,76.2,1
TAB-00342,40.3,2.13,96.9,15.4,2.4,24,11.98,344.2,4.0,77.7,0.417,81.9,1
TAB-00343,47.0,2.57,94.3,14.7,1.9,44,12.65,350.9,4.06,83.1,0.583,85.2,1
TAB-00344,40.3,2.88,100.8,17.4,2.8,40,11.81,353.6,3.86,83.4,0.476,80.3,1
TAB-00345,44.3,2.99,95.4,16.0,3.2,40,12.3,352.5,4.0,78.9,0.474,82.9,1
TAB-00346,52.0,2.66,99.1,13.5,2.7,23,11.64,347.6,4.1,81.3,0.422,90.6,1
TAB-00347,55.1,3.46,97.9,17.0,2.5,46,11.6,352.9,3.9,88.7,0.363,82.0,1
TAB-00348,34.1,3.99,100.6,14.6,2.7,37,11.09,349.5,3.9,80.5,0.508,88.0,1
TAB-00349,49.8,3.09,96.4,14.3,3.6,36,12.17,350.6,3.99,80.0,0.547,87.5,1
TAB-00350,44.1,3.04,98.1,16.8,2.3,44,12.13,351.4,4.01,84.8,0.534,80.7,1
TAB-00351,43.5,3.42,94.6,14.8,2.7,44,12.39,350.5,3.97,74.7,0.509,82.1,1
TAB-00352,51.3,2.07,94.1,15.8,3.6,21,12.11,347.0,3.95,103.8,0.349,81.4,1
TAB-00353,44.5,3.01,99.2,16.3,3.2,25,13.01,354.5,4.07,102.6,0.39,82.8,1
TAB-00354,63.8,3.49,94.4,13.4,3.1,29,12.09,353.1,4.17,74.9,0.538,89.2,1
TAB-00355,61.9,2.68,97.5,15.8,2.7,47,12.5,348.1,4.0,87.8,0.615,82.7,1
TAB-00356,61.8,2.39,100.0,17.7,3.0,43,11.84,348.2,3.85,97.7,0.466,68.8,0
TAB-00357,45.1,2.91,99.5,13.1,2.7,50,11.55,346.4,4.01,65.8,0.552,91.9,1
TAB-00358,40.4,2.97,96.7,15.9,2.6,50,12.36,349.0,4.0,88.4,0.525,85.3,1
TAB-00359,50.8,2.55,94.8,13.3,2.5,54,11.96,347.7,4.02,64.2,0.651,83.0,1
TAB-00360,48.5,4.05,99.0,17.0,3.4,35,12.42,347.2,3.9,75.3,0.416,82.0,1
TAB-00361,43.9,2.76,100.7,17.0,3.0,34,12.18,348.1,3.95,93.5,0.386,84.3,1
TAB-00362,38.2,2.42,96.7,14.3,3.2,53,11.6,343.6,3.97,79.3,0.587,80.6,1
TAB-00363,49.6,2.95,96.4,19.4,3.1,30,12.54,351.8,3.88,106.6,0.422,77.4,1
TAB-00364,46.0,3.45,97.0,17.2,3.2,38,11.56,341.9,3.84,91.4,0.501,80.3,1
TAB-00365,56.9,3.01,99.1,16.4,2.9,28,12.31,352.2,3.89,95.6,0.381,83.8,1
TAB-00366,56.7,3.24,100.5,16.3,2.8,57,12.64,356.4,4.06,81.7,0.596,83.6,1
TAB-00367,61.0,2.56,95.5,17.0,2.6,36,11.81,347.8,3.82,97.3,0.441,79.5,1
TAB-00368,37.4,3.74,95.0,13.0,2.3,28,12.58,355.9,4.13,68.5,0.537,91.8,1
TAB-00369,54.0,3.28,102.7,15.4,2.4,48,12.2,350.0,3.99,68.1,0.54,83.8,1
TAB-00370,42.7,3.52,97.6,15.8,2.8,30,12.43,348.5,4.05,83.0,0.462,79.3,1
TAB-00371,37.8,3.18,98.5,14.2,2.2,58,11.58,348.3,3.97,57.9,0.568,83.8,1
TAB-00372,45.7,3.41,96.6,15.9,2.3,35,12.11,353.4,3.92,81.7,0.6,81.0,1
TAB-00373,60.7,2.56,99.0,17.5,3.5,47,11.3,341.6,3.81,93.2,0.47,74.5,0
TAB-00374,46.3,2.75,99.9,14.2,3.1,34,12.86,352.4,4.12,83.5,0.501,86.9,1
TAB-00375,65.7,3.67,98.6,14.9,2.8,52,10.99,345.6,3.88,76.3,0.586,87.5,1
TAB-00376,55.5,3.78,101.5,13.4,4.1,56,11.82,359.2,4.08,68.9,0.693,92.0,1
TAB-00377,46.1,2.43,97.3,11.4,2.2,52,11.53,347.2,4.07,58.1,0.535,91.8,1
TAB-00378,61.6,3.12,97.5,16.6,3.5,54,12.34,346.2,3.87,91.5,0.458,85.1,1
TAB-00379,54.5,2.78,98.5,14.9,2.9,24,12.96,347.9,4.21,78.4,0.409,85.9,1
TAB-00380,40.7,2.65,98.9,15.1,3.4,57,12.33,353.1,4.03,71.6,0.668,80.4,1
TAB-00381,68.6,3.14,98.5,13.0,3.1,45,13.48,365.1,4.26,78.2,0.632,92.0,1
TAB-00382,52.6,3.57,95.4,14.6,2.1,55,11.31,346.9,3.91,67.3,0.569,88.2,1
TAB-00383,50.2,3.23,98.6,17.2,3.0,47,11.35,346.2,3.87,77.0,0.53,87.9,1
TAB-00384,41.4,2.84,97.3,15.0,3.2,28,11.55,348.7,3.93,90.3,0.401,84.1,1
TAB-00385,61.8,3.26,96.8,15.1,1.9,44,12.06,348.4,3.86,83.2,0.555,87.4,1
TAB-00386,55.2,2.82,98.1,15.4,4.0,24,11.49,339.4,3.9,94.4,0.426,83.6,1
TAB-00387,56.3,3.21,96.1,12.5,3.2,48,11.62,351.6,4.07,66.3,0.645,91.0,1
TAB-00388,44.9,3.7,95.7,16.2,3.3,36,12.31,351.1,3.96,91.8,0.413,84.3,1
TAB-00389,58.3,1.96,92.8,12.5,2.4,26,11.38,348.0,4.05,83.6,0.365,86.0,1
TAB-00390,59.1,3.4,101.5,13.1,3.3,59,11.43,345.7,4.01,73.1,0.65,90.9,1
TAB-00391,43.3,2.23,99.1,12.9,3.5,56,11.8,347.8,4.05,71.8,0.532,88.4,1
TAB-00392,35.8,3.61,97.8,14.6,3.1,56,11.85,353.0,3.99,68.5,0.561,85.6,1
TAB-00393,55.8,2.68,96.7,14.3,3.0,52,12.51,355.1,4.0,73.8,0.57,88.3,1
TAB-00394,34.3,2.39,92.2,15.0,2.6,48,11.55,347.2,3.86,70.3,0.462,84.5,1
TAB-00395,51.5,3.35,96.5,13.2,2.9,46,11.64,349.4,4.06,69.9,0.697,87.1,1
TAB-00396,45.5,3.18,99.4,17.0,2.7,24,12.29,353.7,3.93,95.4,0.363,78.4,1
TAB-00397,62.2,2.5,99.9,16.7,3.3,56,12.4,352.4,4.0,87.3,0.508,82.1,1
TAB-00398,46.1,2.37,99.3,14.7,2.6,55,12.71,348.4,4.08,78.3,0.567,81.9,1
TAB-00399,61.1,2.91,98.3,14.0,3.3,50,12.23,347.2,4.01,73.8,0.489,84.0,1
TAB-00400,44.9,2.4,100.6,13.8,2.6,57,12.07,342.8,3.97,74.6,0.604,90.4,1
TAB-00401,60.0,2.47,97.3,14.4,2.9,42,12.29,352.7,4.02,76.2,0.514,82.2,1
TAB-00402,70.6,3.06,100.2,12.2,3.3,38,11.87,348.3,4.15,65.8,0.531,87.2,1
TAB-00403,39.3,2.52,97.2,13.1,2.6,59,11.86,350.8,4.15,63.2,0.622,84.5,1
TAB-00404,52.9,3.21,96.2,16.7,3.3,39,11.11,347.2,3.83,93.3,0.49,83.0,1
TAB-00405,77.5,3.75,96.0,15.6,3.3,46,12.45,350.7,3.95,77.9,0.625,87.6,1
TAB-00406,50.7,2.93,95.9,18.3,2.9,35,12.11,350.0,3.8,103.3,0.531,83.9,1
TAB-00407,50.6,3.07,99.3,14.4,3.6,45,12.39,350.7,4.03,68.1,0.489,84.1,1
TAB-00408,57.9,4.01,96.5,14.3,3.0,49,10.59,343.2,3.88,69.1,0.544,90.6,1
TAB-00409,50.4,2.41,95.9,14.2,3.6,45,11.98,351.4,4.09,71.5,0.517,88.3,1
TAB-00410,32.9,3.6,99.4,14.4,3.9,41,11.57,356.6,4.05,59.0,0.442,85.2,1
TAB-00411,61.3,3.54,98.7,13.7,2.9,32,12.75,358.2,4.13,77.0,0.546,91.9,1
TAB-00412,30.0,3.43,99.9,15.5,3.3,46,12.31,352.3,4.01,74.6,0.545,78.7,1
TAB-00413,45.8,3.65,99.0,15.1,2.7,56,12.12,355.7,3.97,63.7,0.631,91.9,1
TAB-00414,62.1,3.14,96.5,14.0,2.5,20,11.78,354.3,3.94,78.9,0.414,91.0,1
TAB-00415,46.4,2.71,98.2,17.5,2.9,25,12.2,346.2,3.98,99.7,0.375,76.9,1
TAB-00416,43.1,3.55,98.3,18.8,2.3,25,11.54,352.4,3.65,96.2,0.399,81.2,1
TAB-00417,58.8,3.57,96.2,17.3,2.5,57,11.95,353.2,3.79,83.6,0.576,86.4,1
TAB-00418,41.5,3.55,95.8,16.1,3.3,47,11.71,353.2,4.01,77.8,0.471,80.1,1
TAB-00419,37.8,3.02,96.6,16.5,2.7,58,13.13,358.2,4.04,76.2,0.57,79.6,1
TAB-00420,52.7,2.64,102.1,18.7,3.4,43,12.73,352.3,3.83,97.6,0.517,80.7,1
TAB-00421,48.2,3.1,97.2,16.5,3.1,38,12.53,358.9,4.01,84.4,0.479,82.4,1
TAB-00422,37.6,3.47,100.5,13.8,3.9,52,11.25,348.2,4.02,63.9,0.612,89.4,1
TAB-00423,56.4,3.51,97.1,15.8,3.3,26,12.43,351.9,3.94,82.1,0.52,85.5,1
TAB-00424,54.6,2.79,99.8,16.3,3.6,35,12.09,351.6,3.92,88.9,0.403,84.8,1
TAB-00425,46.4,3.16,99.8,13.0,3.2,39,12.61,356.3,4.2,66.2,0.585,90.8,1
TAB-00426,47.1,2.35,99.9,14.4,3.2,32,12.16,349.8,4.0,77.2,0.412,84.3,1
TAB-00427,54.7,3.49,98.8,17.2,3.6,35,12.0,352.1,3.9,96.0,0.509,76.0,1
TAB-00428,61.9,2.61,100.8,11.4,3.3,23,12.12,350.1,4.27,78.0,0.509,93.6,1
TAB-00429,47.2,3.39,98.8,12.5,3.1,28,11.1,344.3,3.92,68.8,0.489,93.2,1
TAB-00430,56.5,2.43,101.4,14.6,3.1,33,11.62,344.5,3.96,84.9,0.432,80.6,1
TAB-00431,55.7,3.52,94.8,15.7,3.3,52,12.19,347.8,4.0,75.6,0.62,81.9,1
TAB-00432,58.8,3.16,98.7,12.3,2.7,27,12.57,357.7,4.1,75.9,0.406,92.9,1
TAB-00433,50.4,2.61,98.6,14.7,2.6,34,11.72,347.2,3.96,90.6,0.433,84.9,1
TAB-00434,40.9,3.35,96.1,17.3,3.7,23,11.98,340.3,3.93,93.8,0.415,75.0,1
TAB-00435,45.4,2.7,99.2,15.1,3.9,42,11.2,346.6,3.88,79.8,0.479,81.1,1
TAB-00436,53.4,3.37,95.0,16.9,2.5,44,12.73,355.5,3.9,87.6,0.51,83.5,1
TAB-00437,68.2,2.86,96.7,13.8,2.7,55,12.56,346.9,4.17,74.0,0.488,89.9,1
TAB-00438,45.2,2.14,94.0,13.4,3.6,53,12.33,347.4,4.14,70.0,0.51,83.7,1
TAB-00439,58.0,2.51,101.1,16.7,3.3,31,12.2,347.4,3.93,98.0,0.433,80.1,1
TAB-00440,46.7,2.78,97.5,15.7,3.3,25,12.78,351.2,4.04,93.8,0.364,80.1,1
TAB-00441,51.1,3.68,102.3,12.6,3.4,26,11.6,353.0,4.13,66.0,0.448,95.8,1
TAB-00442,65.2,3.45,99.6,13.4,2.9,59,11.54,348.2,4.05,79.6,0.701,90.8,1
TAB-00443,57.6,3.81,98.9,18.1,3.2,47,12.53,353.0,3.93,83.7,0.538,79.6,1
TAB-00444,37.6,3.83,96.8,13.2,3.1,22,12.5,357.5,4.11,65.6,0.432,87.1,1
TAB-00445,44.3,2.73,95.9,16.9,2.6,25,11.4,348.0,3.75,94.2,0.384,76.4,1
TAB-00446,62.6,2.91,99.0,14.0,3.2,39,11.73,343.3,4.05,89.9,0.459,92.7,1
TAB-00447,51.4,2.79,97.9,15.0,3.6,28,12.84,352.0,4.14,83.2,0.424,83.9,1
TAB-00448,38.5,2.66,95.3,15.6,2.8,52,12.21,351.3,3.98,73.0,0.541,81.0,1
TAB-00449,41.8,2.08,95.0,10.8,3.1,43,12.39,347.3,4.29,64.0,0.512,89.6,1
TAB-00450,57.0,2.99,96.1,12.1,3.1,45,11.42,353.2,4.07,64.4,0.618,89.3,1
TAB-00451,59.9,2.36,101.6,15.2,2.9,39,12.33,350.7,4.02,89.6,0.502,82.9,1
TAB-00452,50.2,2.98,102.4,13.6,3.3,30,11.29,344.2,4.09,76.1,0.493,88.0,1
TAB-00453,74.8,4.06,98.4,17.0,2.7,44,11.01,343.8,3.79,83.6,0.552,85.5,1
TAB-00454,58.2,2.75,98.3,11.8,3.7,49,12.36,354.1,4.18,77.3,0.522,87.3,1
TAB-00455,47.6,3.1,97.3,16.1,3.3,35,12.72,351.8,3.92,72.1,0.525,85.6,1
TAB-00456,41.8,3.45,96.1,12.2,2.5,40,11.87,351.4,4.16,70.4,0.574,89.8,1
TAB-00457,40.3,3.14,100.8,14.3,3.8,54,11.73,345.5,3.97,76.1,0.542,84.4,1
TAB-00458,53.4,3.15,101.7,12.9,3.1,26,12.86,354.8,4.2,70.0,0.487,87.8,1
TAB-00459,45.1,2.82,96.2,18.8,2.6,42,11.9,347.2,3.78,107.0,0.461,73.4,0
TAB-00460,66.7,2.88,97.8,12.3,3.6,34,11.97,348.7,4.11,66.6,0.543,91.7,1
TAB-00461,64.7,2.52,97.1,14.8,3.2,48,12.85,350.9,4.09,87.2,0.467,87.5,1
TAB-00462,56.3,3.42,97.2,11.5,2.1,21,11.82,353.0,4.15,55.5,0.532,91.3,1
TAB-00463,38.2,2.13,100.4,18.2,2.7,47,11.67,345.2,3.87,89.7,0.424,69.9,0
TAB-00464,43.3,3.49,95.4,15.8,3.1,24,12.41,352.6,4.08,79.5,0.454,81.4,1
TAB-00465,62.6,2.3,98.9,15.3,1.9,23,11.64,346.5,3.98,86.7,0.332,81.6,1
TAB-00466,44.4,3.48,99.5,17.9,3.0,49,11.93,355.4,3.91,88.7,0.562,76.6,1
TAB-00467,61.2,2.82,97.7,15.3,3.1,46,11.34,349.0,3.96,78.9,0.522,82.6,1
TAB-00468,54.7,2.38,99.8,15.4,2.4,56,12.09,351.6,4.01,70.1,0.599,80.9,1
TAB-00469,50.5,3.29,98.3,15.3,3.1,41,12.03,346.0,4.06,82.3,0.436,85.3,1
TAB-00470,43.0,3.46,100.4,16.1,3.0,41,12.48,351.4,3.93,81.8,0.437,79.4,1
TAB-00471,49.1,2.78,95.0,14.0,2.4,48,12.43,355.3,4.06,74.4,0.538,88.0,1
TAB-00472,51.9,3.36,97.3,14.6,3.5,33,12.28,348.6,4.01,80.3,0.565,92.0,1
TAB-00473,60.3,1.86,97.9,16.6,3.4,21,12.2,349.0,3.92,107.0,0.416,83.1,1
TAB-00474,41.1,2.34,92.7,15.6,2.9,29,11.96,345.3,4.0,86.9,0.357,79.7,1
TAB-00475,47.4,3.65,95.8,14.8,2.9,30,12.3,349.9,3.99,83.1,0.487,89.3,1
TAB-00476,50.4,2.89,96.4,12.2,3.4,33,11.44,352.0,4.11,65.5,0.525,91.9,1
TAB-00477,56.6,2.07,99.9,18.0,2.9,58,10.83,344.4,3.7,91.8,0.518,76.4,1
TAB-00478,40.9,2.65,96.6,13.7,2.0,52,12.58,355.2,4.11,74.6,0.614,86.7,1
TAB-00479,36.8,2.54,96.4,17.0,3.2,57,12.34,353.1,3.95,91.6,0.469,81.1,1
TAB-00480,56.7,2.92,99.6,15.4,2.6,60,11.94,349.1,4.06,79.6,0.592,87.0,1
TAB-00481,34.8,2.81,94.8,12.4,2.8,37,12.54,350.2,4.15,60.9,0.429,86.4,1
TAB-00482,62.8,3.09,93.9,17.5,3.7,29,11.63,347.1,3.83,94.5,0.44,83.1,1
TAB-00483,48.4,2.97,97.3,15.5,2.9,42,11.65,347.6,3.89,88.2,0.483,88.8,1
TAB-00484,34.5,3.68,95.1,17.7,3.0,55,11.58,354.6,3.79,88.7,0.497,83.6,1
TAB-00485,45.2,3.21,95.2,14.6,3.3,39,12.28,347.8,3.99,76.8,0.528,90.7,1
TAB-00486,53.8,3.23,99.1,16.4,3.3,40,11.21,344.8,3.86,98.8,0.466,75.3,1
TAB-00487,44.7,3.58,99.8,11.5,2.5,25,11.62,346.5,4.16,64.2,0.59,95.3,1
TAB-00488,50.2,2.81,99.6,14.0,3.0,37,12.14,353.5,4.1,71.4,0.45,87.2,1
TAB-00489,57.4,2.37,100.2,12.5,3.0,35,11.4,351.3,4.03,71.9,0.608,91.7,1
TAB-00490,48.0,3.6,100.5,14.3,3.1,34,11.67,350.5,4.03,74.9,0.558,84.8,1
TAB-00491,40.6,3.07,93.7,15.9,3.1,55,10.89,345.8,3.85,78.6,0.626,81.3,1
TAB-00492,47.0,3.07,98.9,13.8,4.3,22,12.3,351.9,4.09,87.1,0.388,90.2,1
TAB-00493,64.1,2.68,96.9,16.7,2.4,59,11.66,349.0,3.82,81.4,0.633,78.1,1
TAB-00494,66.9,2.69,96.5,13.3,3.5,20,11.45,349.0,4.04,76.6,0.36,89.1,1
TAB-00495,29.8,3.42,99.1,16.8,3.6,58,11.35,348.9,3.86,81.5,0.564,81.7,1
TAB-00496,60.9,3.49,94.5,17.6,3.2,42,11.79,351.4,3.85,90.2,0.547,81.2,1
TAB-00497,52.5,3.39,94.5,17.0,2.7,48,11.21,349.2,3.84,97.7,0.545,84.0,1
TAB-00498,59.2,3.4,99.3,14.3,3.8,27,12.97,350.3,4.17,86.6,0.409,84.7,1
TAB-00499,44.5,3.28,99.0,10.7,1.9,46,10.81,344.6,4.04,49.6,0.687,91.7,0
TAB-00500,32.3,3.07,98.3,16.2,2.7,55,11.77,349.9,3.91,82.8,0.573,81.6,1
