lot_id,datum,leverancier,grondstof,zuiverheid_pct,vochtgehalte_pct,deeltjesgrootte_d50_um,deeltjesgrootte_d90_um,bulkdichtheid_gmL,tapdichtheid_gmL,carr_index_pct,zware_metalen_ppm,microbieel_CFUg,besluit
LOT-00190,2024-10-01,Leverancier_D,Paracetamol_API,99.6,1.89,97.9,183.4,0.5,0.623,19.7,10.9,10,goedgekeurd
LOT-00191,2024-11-26,Leverancier_B,Cellulose_MCC,99.57,1.61,74.0,132.3,0.472,0.596,20.7,6.5,10,goedgekeurd
LOT-00192,2025-01-18,Leverancier_B,Magnesiumstearaat,99.71,1.99,83.3,147.2,0.478,0.581,17.7,8.8,0,goedgekeurd
LOT-00193,2024-10-25,Leverancier_B,Lactose,99.32,1.79,75.5,134.8,0.395,0.46,14.1,8.0,10,goedgekeurd
LOT-00194,2025-02-23,Leverancier_B,Cellulose_MCC,99.45,1.23,75.7,139.8,0.475,0.614,22.5,10.1,0,goedgekeurd
LOT-00195,2024-09-04,Leverancier_A,Lactose,99.38,1.9,82.2,148.2,0.361,0.447,19.1,12.1,50,goedgekeurd
LOT-00196,2024-06-24,Leverancier_A,Lactose,99.21,1.62,69.0,119.1,0.472,0.627,24.7,5.4,1000,afgekeurd
LOT-00197,2025-05-29,Leverancier_B,Lactose,99.22,1.9,86.1,166.0,0.468,0.573,18.4,11.1,10,goedgekeurd
LOT-00198,2024-12-22,Leverancier_C,Paracetamol_API,99.22,2.31,66.9,127.6,0.452,0.561,19.3,7.6,0,goedgekeurd
LOT-00199,2024-10-28,Leverancier_A,Lactose,99.13,2.1,95.9,170.1,0.463,0.574,19.4,6.3,0,goedgekeurd
LOT-00200,2025-04-29,Leverancier_B,Lactose,99.79,1.64,76.7,145.1,0.443,0.535,17.2,7.9,50,goedgekeurd
LOT-00201,2024-06-08,Leverancier_A,Magnesiumstearaat,99.08,1.98,67.7,125.2,0.485,0.603,19.5,6.5,0,goedgekeurd
LOT-00202,2025-02-15,Leverancier_A,Paracetamol_API,99.41,2.14,87.1,156.1,0.457,0.578,20.8,11.1,0,goedgekeurd
LOT-00203,2024-11-21,Leverancier_A,Lactose,100.0,2.39,88.1,161.4,0.481,0.631,23.9,5.4,0,goedgekeurd
LOT-00204,2025-01-11,Leverancier_D,Lactose,98.88,2.43,93.7,165.3,0.48,0.565,14.9,8.0,10,hertest
LOT-00205,2024-11-06,Leverancier_C,Lactose,99.87,2.36,87.5,157.8,0.438,0.568,22.9,8.1,0,goedgekeurd
LOT-00206,2024-10-08,Leverancier_B,Magnesiumstearaat,99.61,2.02,78.6,141.7,0.418,0.493,15.2,9.0,0,goedgekeurd
LOT-00207,2024-07-06,Leverancier_A,Paracetamol_API,99.27,2.05,72.0,130.0,0.415,0.52,20.2,7.2,100,goedgekeurd
LOT-00208,2025-03-29,Leverancier_C,Cellulose_MCC,99.41,1.6,87.7,157.4,0.461,0.61,24.4,7.4,0,goedgekeurd
LOT-00209,2024-11-26,Leverancier_B,Paracetamol_API,99.13,1.88,77.3,138.0,0.478,0.607,21.2,6.4,0,goedgekeurd
LOT-00210,2025-05-30,Leverancier_C,Magnesiumstearaat,99.08,2.29,88.5,150.7,0.462,0.577,20.0,8.1,10,goedgekeurd
LOT-00211,2025-02-10,Leverancier_B,Paracetamol_API,99.86,2.18,76.3,129.0,0.49,0.587,16.6,7.8,0,goedgekeurd
LOT-00212,2025-02-05,Leverancier_D,Paracetamol_API,99.71,1.73,84.7,153.8,0.489,0.608,19.6,8.8,100,goedgekeurd
LOT-00213,2024-10-22,Leverancier_A,Lactose,99.49,2.37,72.4,129.2,0.45,0.542,17.1,6.5,0,goedgekeurd
LOT-00214,2025-05-10,Leverancier_A,Lactose,100.0,2.31,78.0,142.8,0.481,0.621,22.6,5.4,50,goedgekeurd
LOT-00215,2024-12-19,Leverancier_A,Lactose,99.57,1.52,73.2,137.9,0.454,0.556,18.4,6.1,0,goedgekeurd
LOT-00216,2025-01-30,Leverancier_B,Paracetamol_API,99.52,1.15,84.2,158.1,0.444,0.552,19.5,8.6,10,goedgekeurd
LOT-00217,2025-03-26,Leverancier_C,Cellulose_MCC,99.34,1.97,82.6,146.6,0.454,0.566,19.6,6.7,10,goedgekeurd
LOT-00218,2024-12-27,Leverancier_B,Magnesiumstearaat,99.76,1.65,82.5,152.4,0.485,0.646,24.9,9.2,1000,afgekeurd
LOT-00219,2025-01-13,Leverancier_A,Lactose,99.61,2.62,101.4,190.7,0.454,0.548,17.1,5.4,50,goedgekeurd
LOT-00220,2025-05-19,Leverancier_A,Paracetamol_API,99.47,1.85,86.1,155.3,0.484,0.586,17.4,6.6,0,goedgekeurd
LOT-00221,2024-09-14,Leverancier_B,Paracetamol_API,99.32,1.81,76.7,143.2,0.426,0.535,20.2,7.2,1000,afgekeurd
LOT-00222,2024-10-25,Leverancier_B,Magnesiumstearaat,99.67,1.91,63.7,106.8,0.508,0.642,21.0,11.0,0,goedgekeurd
LOT-00223,2025-01-28,Leverancier_C,Lactose,99.57,1.86,98.4,176.2,0.432,0.528,18.2,6.8,10,goedgekeurd
LOT-00224,2024-12-06,Leverancier_A,Paracetamol_API,99.28,2.08,70.3,131.1,0.431,0.526,18.1,9.2,0,goedgekeurd
LOT-00225,2024-12-16,Leverancier_C,Cellulose_MCC,99.8,2.33,70.9,128.4,0.44,0.547,19.6,5.7,1000,afgekeurd
LOT-00226,2024-06-04,Leverancier_A,Cellulose_MCC,99.07,1.88,84.8,152.7,0.445,0.553,19.6,5.1,0,goedgekeurd
LOT-00227,2025-01-30,Leverancier_B,Lactose,100.0,2.13,80.6,152.8,0.452,0.582,22.4,7.2,0,goedgekeurd
LOT-00228,2025-05-05,Leverancier_A,Cellulose_MCC,99.71,1.69,69.4,122.6,0.443,0.6,26.1,7.0,10,goedgekeurd
LOT-00229,2024-10-22,Leverancier_B,Paracetamol_API,99.52,1.55,73.7,132.7,0.423,0.516,18.1,7.3,100,goedgekeurd
LOT-00230,2024-10-01,Leverancier_D,Paracetamol_API,99.39,1.85,66.7,122.8,0.464,0.589,21.2,8.7,0,goedgekeurd
LOT-00231,2024-08-07,Leverancier_B,Cellulose_MCC,99.48,2.05,80.3,146.7,0.477,0.553,13.8,11.3,0,goedgekeurd
LOT-00232,2024-08-18,Leverancier_C,Magnesiumstearaat,99.13,1.96,80.4,148.2,0.458,0.565,19.0,14.7,10,goedgekeurd
LOT-00233,2025-05-31,Leverancier_A,Paracetamol_API,99.27,2.18,78.6,141.1,0.448,0.562,20.2,5.8,500,goedgekeurd
LOT-00234,2024-09-14,Leverancier_A,Cellulose_MCC,99.36,1.45,75.3,128.1,0.5,0.675,25.9,7.4,0,goedgekeurd
LOT-00235,2025-05-16,Leverancier_A,Cellulose_MCC,99.55,1.95,77.4,141.4,0.434,0.54,19.5,6.0,0,goedgekeurd
LOT-00236,2024-10-16,Leverancier_B,Lactose,99.46,1.8,90.3,169.4,0.484,0.598,19.0,6.4,0,goedgekeurd
LOT-00237,2024-11-28,Leverancier_B,Cellulose_MCC,100.0,2.06,76.4,134.2,0.429,0.527,18.6,7.4,50,goedgekeurd
LOT-00238,2025-03-27,Leverancier_B,Paracetamol_API,99.03,1.91,108.7,197.9,0.465,0.564,17.6,6.7,0,goedgekeurd
LOT-00239,2024-11-29,Leverancier_B,Lactose,99.86,1.86,79.8,136.0,0.402,0.496,18.9,6.3,100,goedgekeurd
LOT-00240,2024-06-17,Leverancier_B,Paracetamol_API,100.0,2.15,64.0,116.7,0.441,0.546,19.1,6.2,10,goedgekeurd
LOT-00241,2024-11-01,Leverancier_B,Paracetamol_API,99.82,1.94,81.2,139.4,0.455,0.571,20.3,7.0,10,goedgekeurd
LOT-00242,2024-08-21,Leverancier_D,Lactose,99.59,1.52,67.8,119.8,0.482,0.588,18.1,7.6,10,goedgekeurd
LOT-00243,2025-05-14,Leverancier_B,Lactose,99.58,2.03,91.5,157.8,0.478,0.612,21.8,8.6,0,goedgekeurd
LOT-00244,2024-08-24,Leverancier_B,Paracetamol_API,99.46,2.15,115.8,202.8,0.455,0.537,15.2,6.7,50,goedgekeurd
LOT-00245,2024-09-09,Leverancier_D,Paracetamol_API,100.0,2.42,84.8,150.8,0.505,0.602,16.2,8.5,50,goedgekeurd
LOT-00246,2024-10-04,Leverancier_C,Cellulose_MCC,99.38,1.79,101.7,179.9,0.414,0.533,22.3,6.0,0,goedgekeurd
LOT-00247,2024-07-28,Leverancier_B,Paracetamol_API,99.59,2.18,98.9,177.5,0.49,0.615,20.3,7.4,0,goedgekeurd
LOT-00248,2025-04-21,Leverancier_C,Paracetamol_API,99.39,1.87,79.9,148.7,0.523,0.644,18.8,6.7,100,goedgekeurd
LOT-00249,2025-05-31,Leverancier_D,Paracetamol_API,99.25,2.05,84.2,156.6,0.479,0.601,20.3,10.5,0,goedgekeurd
LOT-00250,2025-01-10,Leverancier_A,Lactose,99.57,2.04,67.0,123.7,0.463,0.556,16.7,9.4,0,goedgekeurd
LOT-00251,2025-03-13,Leverancier_B,Lactose,99.22,1.48,82.3,149.6,0.442,0.549,19.4,6.1,100,goedgekeurd
LOT-00252,2024-08-07,Leverancier_C,Paracetamol_API,99.2,1.91,84.0,151.1,0.442,0.556,20.6,6.6,0,goedgekeurd
LOT-00253,2024-12-03,Leverancier_A,Paracetamol_API,99.85,1.95,86.9,153.3,0.445,0.552,19.4,8.4,100,goedgekeurd
LOT-00254,2024-08-08,Leverancier_B,Cellulose_MCC,99.48,2.16,90.1,162.9,0.489,0.621,21.2,9.0,0,goedgekeurd
LOT-00255,2024-07-30,Leverancier_C,Paracetamol_API,99.79,2.35,65.2,121.6,0.462,0.585,21.1,6.4,0,goedgekeurd
LOT-00256,2025-03-10,Leverancier_A,Magnesiumstearaat,99.08,1.89,86.8,153.7,0.448,0.539,16.9,5.3,0,goedgekeurd
LOT-00257,2024-11-23,Leverancier_D,Magnesiumstearaat,99.97,2.44,82.7,137.9,0.536,0.654,18.0,8.8,0,goedgekeurd
LOT-00258,2025-05-10,Leverancier_B,Lactose,99.56,1.78,84.9,156.9,0.497,0.618,19.7,6.7,10,goedgekeurd
LOT-00259,2025-03-31,Leverancier_C,Magnesiumstearaat,99.21,2.08,71.0,123.2,0.485,0.593,18.2,7.9,10,goedgekeurd
LOT-00260,2024-07-27,Leverancier_B,Paracetamol_API,99.47,1.97,84.2,148.0,0.506,0.678,25.3,6.6,1000,afgekeurd
LOT-00261,2025-05-08,Leverancier_D,Lactose,99.49,1.81,94.0,173.2,0.514,0.643,20.1,7.4,100,goedgekeurd
LOT-00262,2025-02-02,Leverancier_A,Paracetamol_API,99.69,1.72,68.8,120.3,0.423,0.519,18.4,6.8,50,goedgekeurd
LOT-00263,2024-10-14,Leverancier_B,Paracetamol_API,100.0,1.71,89.9,165.5,0.513,0.633,18.9,9.7,10,goedgekeurd
LOT-00264,2024-06-30,Leverancier_D,Paracetamol_API,99.05,2.34,99.0,175.5,0.471,0.611,23.0,11.2,0,goedgekeurd
LOT-00265,2024-10-12,Leverancier_A,Paracetamol_API,99.04,1.85,95.1,170.5,0.456,0.549,16.9,5.3,50,goedgekeurd
LOT-00266,2024-12-27,Leverancier_B,Lactose,100.0,1.82,73.7,130.6,0.478,0.604,20.8,7.9,1000,afgekeurd
LOT-00267,2024-12-21,Leverancier_A,Magnesiumstearaat,99.78,2.21,65.2,113.7,0.491,0.637,22.9,7.9,10,goedgekeurd
LOT-00268,2024-10-25,Leverancier_D,Magnesiumstearaat,99.91,1.39,81.0,151.5,0.446,0.526,15.1,7.8,10,goedgekeurd
LOT-00269,2024-06-01,Leverancier_C,Cellulose_MCC,99.17,1.91,94.1,169.5,0.489,0.609,19.7,6.5,10,goedgekeurd
LOT-00270,2025-05-29,Leverancier_A,Paracetamol_API,99.89,2.13,71.3,131.2,0.433,0.567,23.7,6.2,0,goedgekeurd
LOT-00271,2025-05-31,Leverancier_A,Lactose,99.46,1.74,89.2,164.4,0.464,0.559,16.9,5.5,100,goedgekeurd
LOT-00272,2025-05-18,Leverancier_D,Cellulose_MCC,99.67,2.02,78.9,147.5,0.409,0.528,22.7,8.1,0,goedgekeurd
LOT-00273,2025-03-27,Leverancier_C,Lactose,99.41,1.92,64.2,111.4,0.429,0.551,22.2,5.6,10,goedgekeurd
LOT-00274,2024-12-25,Leverancier_A,Magnesiumstearaat,99.24,1.7,79.8,138.8,0.5,0.613,18.4,5.5,50,goedgekeurd
LOT-00275,2025-03-08,Leverancier_B,Paracetamol_API,99.66,2.43,92.1,174.3,0.51,0.627,18.6,6.5,100,goedgekeurd
LOT-00276,2025-02-10,Leverancier_C,Cellulose_MCC,99.89,1.91,85.8,157.8,0.4,0.518,22.8,7.2,10,goedgekeurd
LOT-00277,2025-03-30,Leverancier_A,Lactose,99.51,2.0,65.5,123.9,0.434,0.522,17.0,5.6,0,goedgekeurd
LOT-00278,2024-11-07,Leverancier_C,Lactose,99.57,2.55,104.3,178.3,0.427,0.521,18.0,5.6,0,goedgekeurd
LOT-00279,2024-08-04,Leverancier_C,Lactose,99.78,2.44,74.2,128.1,0.399,0.513,22.2,8.2,10,goedgekeurd
LOT-00280,2024-09-16,Leverancier_A,Magnesiumstearaat,99.75,1.75,77.0,144.7,0.473,0.584,18.9,5.2,10,goedgekeurd
LOT-00281,2025-02-22,Leverancier_B,Lactose,100.0,2.18,73.0,132.6,0.49,0.603,18.8,6.2,100,goedgekeurd
LOT-00282,2024-07-11,Leverancier_B,Lactose,99.29,2.11,62.7,106.0,0.425,0.537,20.9,7.1,10,goedgekeurd
LOT-00283,2024-07-28,Leverancier_A,Lactose,99.45,1.78,73.3,134.3,0.461,0.567,18.7,6.2,10,goedgekeurd
LOT-00284,2024-12-08,Leverancier_B,Cellulose_MCC,99.57,1.87,86.0,160.2,0.404,0.469,13.8,8.2,0,goedgekeurd
LOT-00285,2024-06-29,Leverancier_B,Magnesiumstearaat,99.2,2.53,104.3,186.2,0.458,0.527,13.0,6.3,10,goedgekeurd
LOT-00286,2025-03-26,Leverancier_B,Cellulose_MCC,99.79,2.63,97.1,176.1,0.459,0.573,20.0,7.5,0,goedgekeurd
LOT-00287,2025-05-16,Leverancier_A,Lactose,99.7,2.14,73.9,134.3,0.47,0.603,22.1,6.3,10,goedgekeurd
LOT-00288,2025-03-05,Leverancier_D,Cellulose_MCC,100.0,1.89,88.2,151.1,0.459,0.543,15.6,10.9,0,goedgekeurd
LOT-00289,2024-07-04,Leverancier_C,Paracetamol_API,99.37,2.34,92.3,179.8,0.457,0.563,18.8,6.0,50,goedgekeurd
LOT-00290,2024-11-04,Leverancier_B,Magnesiumstearaat,99.6,1.89,83.7,145.2,0.457,0.558,18.2,6.8,50,goedgekeurd
LOT-00291,2024-12-24,Leverancier_A,Lactose,99.26,2.02,62.0,109.9,0.452,0.556,18.7,7.1,10,goedgekeurd
LOT-00292,2025-03-29,Leverancier_B,Paracetamol_API,99.7,1.87,85.5,152.9,0.46,0.606,24.1,6.3,10,goedgekeurd
LOT-00293,2024-07-22,Leverancier_A,Paracetamol_API,99.87,2.12,85.7,153.0,0.48,0.58,17.3,5.8,10,goedgekeurd
LOT-00294,2025-05-15,Leverancier_B,Cellulose_MCC,99.28,1.76,88.5,154.9,0.448,0.578,22.6,6.5,0,goedgekeurd
LOT-00295,2024-08-03,Leverancier_B,Paracetamol_API,99.58,1.82,84.1,157.0,0.484,0.63,23.3,6.1,10,goedgekeurd
LOT-00296,2024-11-13,Leverancier_D,Paracetamol_API,99.48,1.52,78.6,149.9,0.418,0.545,23.4,10.3,10,goedgekeurd
LOT-00297,2024-10-17,Leverancier_A,Magnesiumstearaat,99.47,2.33,89.5,160.7,0.489,0.644,24.1,7.3,10,goedgekeurd
LOT-00298,2024-08-12,Leverancier_A,Paracetamol_API,99.52,2.61,82.9,147.3,0.452,0.545,17.0,5.2,50,goedgekeurd
LOT-00299,2024-10-08,Leverancier_C,Lactose,99.68,1.8,74.7,138.6,0.455,0.593,23.3,6.1,0,goedgekeurd
LOT-00300,2024-08-02,Leverancier_D,Lactose,99.44,1.73,88.0,151.3,0.464,0.557,16.7,7.5,0,goedgekeurd
LOT-00301,2024-07-24,Leverancier_A,Paracetamol_API,99.43,2.15,64.4,117.2,0.443,0.589,24.8,5.8,10,goedgekeurd
LOT-00302,2024-09-26,Leverancier_D,Lactose,99.56,2.06,89.7,160.0,0.476,0.638,25.5,8.8,50,goedgekeurd
LOT-00303,2024-08-28,Leverancier_B,Paracetamol_API,99.42,2.24,69.8,123.3,0.483,0.588,17.8,6.1,1000,afgekeurd
LOT-00304,2024-12-02,Leverancier_A,Paracetamol_API,100.0,1.9,78.2,136.3,0.375,0.464,19.3,5.4,10,goedgekeurd
LOT-00305,2024-07-11,Leverancier_A,Lactose,100.0,1.86,86.2,156.2,0.439,0.563,22.1,6.0,50,goedgekeurd
LOT-00306,2025-04-20,Leverancier_A,Lactose,99.87,2.04,74.2,133.4,0.443,0.545,18.6,5.6,10,goedgekeurd
LOT-00307,2024-06-17,Leverancier_A,Magnesiumstearaat,99.9,1.67,89.7,155.8,0.464,0.589,21.2,5.6,0,goedgekeurd
LOT-00308,2024-07-29,Leverancier_B,Lactose,99.53,1.76,89.7,160.5,0.494,0.603,18.1,6.9,0,goedgekeurd
LOT-00309,2024-10-30,Leverancier_B,Magnesiumstearaat,100.0,1.69,90.0,162.6,0.448,0.599,25.3,8.2,50,goedgekeurd
LOT-00310,2024-11-18,Leverancier_B,Magnesiumstearaat,99.66,1.28,57.7,114.2,0.418,0.495,15.6,6.6,0,goedgekeurd
LOT-00311,2024-10-25,Leverancier_C,Paracetamol_API,99.58,1.8,68.3,120.8,0.428,0.516,17.1,8.4,1000,afgekeurd
LOT-00312,2024-12-29,Leverancier_A,Cellulose_MCC,99.37,2.12,72.2,131.7,0.438,0.545,19.6,6.9,10,goedgekeurd
LOT-00313,2024-06-09,Leverancier_A,Lactose,99.38,1.89,57.0,108.3,0.428,0.56,23.6,12.6,0,goedgekeurd
LOT-00314,2024-06-09,Leverancier_D,Lactose,99.48,1.58,104.9,188.1,0.439,0.565,22.3,10.2,0,goedgekeurd
LOT-00315,2025-05-19,Leverancier_A,Magnesiumstearaat,99.28,1.95,79.2,146.8,0.434,0.53,18.0,6.2,0,goedgekeurd
LOT-00316,2024-10-14,Leverancier_A,Lactose,99.49,1.95,66.2,111.0,0.393,0.483,18.7,5.4,0,goedgekeurd
LOT-00317,2024-11-17,Leverancier_B,Paracetamol_API,99.58,2.25,77.0,131.3,0.411,0.509,19.4,6.5,10,goedgekeurd
LOT-00318,2025-01-18,Leverancier_B,Paracetamol_API,99.34,1.77,90.3,158.0,0.464,0.601,22.8,6.1,50,goedgekeurd
LOT-00319,2025-03-27,Leverancier_B,Magnesiumstearaat,99.25,2.06,89.4,163.9,0.408,0.507,19.6,6.5,0,goedgekeurd
LOT-00320,2025-05-13,Leverancier_A,Lactose,99.47,1.48,77.1,137.8,0.462,0.624,26.0,7.7,0,goedgekeurd
LOT-00321,2025-02-15,Leverancier_A,Lactose,99.58,1.9,87.8,153.9,0.445,0.557,20.2,5.2,0,goedgekeurd
LOT-00322,2025-04-10,Leverancier_B,Cellulose_MCC,99.1,1.49,81.7,141.4,0.43,0.547,21.5,6.4,1000,afgekeurd
LOT-00323,2025-01-03,Leverancier_D,Paracetamol_API,99.14,1.8,85.5,151.7,0.476,0.573,16.9,9.8,100,goedgekeurd
LOT-00324,2024-08-19,Leverancier_A,Lactose,99.46,2.37,72.7,132.3,0.507,0.625,18.9,6.5,100,goedgekeurd
LOT-00325,2024-09-28,Leverancier_D,Paracetamol_API,99.63,1.88,70.7,124.6,0.521,0.661,21.2,7.6,100,goedgekeurd
LOT-00326,2024-07-24,Leverancier_C,Lactose,100.0,2.32,70.4,121.9,0.436,0.573,23.9,5.7,0,goedgekeurd
LOT-00327,2024-12-28,Leverancier_A,Lactose,98.99,2.13,80.0,140.5,0.424,0.541,21.5,12.1,100,hertest
LOT-00328,2024-12-14,Leverancier_A,Paracetamol_API,99.43,1.86,72.5,126.9,0.449,0.62,27.6,7.7,500,goedgekeurd
LOT-00329,2024-12-15,Leverancier_B,Magnesiumstearaat,99.32,1.78,80.7,150.9,0.467,0.587,20.6,10.7,100,goedgekeurd
LOT-00330,2024-07-11,Leverancier_D,Lactose,99.55,2.27,82.9,159.2,0.514,0.625,17.8,8.6,0,goedgekeurd
LOT-00331,2024-10-27,Leverancier_C,Cellulose_MCC,99.64,2.33,70.5,120.7,0.433,0.554,21.8,7.3,100,goedgekeurd
LOT-00332,2024-12-31,Leverancier_B,Lactose,99.76,2.33,86.2,158.6,0.476,0.535,11.0,7.3,10,goedgekeurd
LOT-00333,2025-01-05,Leverancier_C,Paracetamol_API,99.0,1.96,85.9,150.6,0.497,0.62,19.8,6.6,10,hertest
LOT-00334,2024-09-06,Leverancier_A,Paracetamol_API,99.48,1.87,81.7,150.9,0.431,0.55,21.6,8.1,0,goedgekeurd
LOT-00335,2024-06-01,Leverancier_A,Cellulose_MCC,99.74,2.4,74.1,132.4,0.44,0.549,19.8,6.2,10,goedgekeurd
LOT-00336,2025-02-08,Leverancier_B,Magnesiumstearaat,99.21,1.55,75.9,126.7,0.476,0.572,16.8,6.6,100,goedgekeurd
LOT-00337,2025-04-23,Leverancier_B,Lactose,99.3,1.68,78.0,127.9,0.425,0.538,21.0,7.3,500,goedgekeurd
LOT-00338,2024-07-26,Leverancier_A,Paracetamol_API,99.15,1.92,88.6,158.8,0.446,0.549,18.8,6.4,10,goedgekeurd
LOT-00339,2025-04-24,Leverancier_D,Lactose,99.15,1.8,99.3,172.3,0.446,0.547,18.5,9.1,10,goedgekeurd
LOT-00340,2025-01-22,Leverancier_B,Paracetamol_API,99.52,1.49,93.5,168.9,0.472,0.594,20.7,8.0,10,goedgekeurd
LOT-00341,2024-11-04,Leverancier_A,Lactose,99.22,2.24,95.8,172.5,0.43,0.539,20.4,6.7,500,goedgekeurd
LOT-00342,2025-01-22,Leverancier_B,Paracetamol_API,99.26,2.04,92.1,158.5,0.452,0.529,14.6,9.5,100,goedgekeurd
LOT-00343,2024-10-10,Leverancier_A,Lactose,99.65,2.32,58.2,104.0,0.413,0.494,16.4,5.3,500,goedgekeurd
LOT-00344,2024-10-24,Leverancier_A,Cellulose_MCC,99.23,2.23,77.5,137.0,0.439,0.547,19.6,8.5,50,goedgekeurd
LOT-00345,2024-11-21,Leverancier_A,Magnesiumstearaat,99.81,1.96,77.8,145.7,0.456,0.594,23.3,7.6,100,goedgekeurd
LOT-00346,2024-07-27,Leverancier_B,Magnesiumstearaat,99.37,1.19,85.1,161.9,0.48,0.616,22.2,7.7,10,goedgekeurd
LOT-00347,2025-02-26,Leverancier_A,Paracetamol_API,99.74,1.97,99.1,174.3,0.484,0.614,21.1,5.2,10,goedgekeurd
LOT-00348,2025-04-23,Leverancier_D,Cellulose_MCC,99.34,1.25,83.2,148.5,0.443,0.53,16.4,7.9,10,goedgekeurd
LOT-00349,2025-02-18,Leverancier_B,Magnesiumstearaat,99.63,1.49,108.2,197.8,0.457,0.537,14.9,6.3,0,goedgekeurd
LOT-00350,2024-10-19,Leverancier_A,Lactose,100.0,2.06,84.6,154.9,0.475,0.6,20.8,5.5,10,goedgekeurd
LOT-00351,2024-09-19,Leverancier_D,Cellulose_MCC,99.23,1.46,93.3,170.2,0.46,0.557,17.4,7.5,10,goedgekeurd
LOT-00352,2025-03-17,Leverancier_A,Cellulose_MCC,99.6,2.12,70.1,133.6,0.444,0.54,17.8,6.6,0,goedgekeurd
LOT-00353,2024-12-31,Leverancier_B,Paracetamol_API,99.76,1.97,94.0,162.9,0.48,0.602,20.3,7.4,0,goedgekeurd
LOT-00354,2024-09-24,Leverancier_D,Paracetamol_API,99.95,1.72,77.2,139.9,0.441,0.574,23.1,9.0,10,goedgekeurd
LOT-00355,2025-03-08,Leverancier_D,Cellulose_MCC,99.48,1.86,80.5,146.8,0.508,0.658,22.8,8.1,50,goedgekeurd
LOT-00356,2024-12-21,Leverancier_C,Paracetamol_API,99.19,1.86,75.1,130.2,0.426,0.532,19.9,8.7,0,goedgekeurd
LOT-00357,2024-06-18,Leverancier_A,Paracetamol_API,99.73,2.01,85.7,151.4,0.432,0.503,14.1,6.0,0,goedgekeurd
LOT-00358,2025-03-26,Leverancier_B,Cellulose_MCC,99.05,2.01,84.5,142.7,0.493,0.585,15.7,6.2,0,goedgekeurd
LOT-00359,2024-10-13,Leverancier_C,Lactose,98.98,2.75,80.7,147.4,0.438,0.556,21.3,6.1,50,hertest
LOT-00360,2024-10-16,Leverancier_A,Magnesiumstearaat,99.46,1.5,74.1,132.4,0.486,0.596,18.4,5.7,0,goedgekeurd
LOT-00361,2024-09-07,Leverancier_A,Magnesiumstearaat,99.79,1.95,79.0,133.3,0.474,0.609,22.1,9.6,500,goedgekeurd
LOT-00362,2024-10-23,Leverancier_C,Magnesiumstearaat,99.83,2.66,68.9,134.1,0.444,0.534,16.9,6.6,0,goedgekeurd
LOT-00363,2024-06-16,Leverancier_A,Magnesiumstearaat,99.15,1.94,87.1,155.4,0.455,0.603,24.6,5.4,0,goedgekeurd
LOT-00364,2024-07-05,Leverancier_D,Paracetamol_API,99.79,1.56,76.2,131.4,0.526,0.654,19.6,8.7,0,goedgekeurd
LOT-00365,2025-02-11,Leverancier_A,Lactose,99.64,2.08,73.2,136.5,0.421,0.527,20.1,8.6,0,goedgekeurd
LOT-00366,2025-01-29,Leverancier_C,Paracetamol_API,99.65,1.88,75.3,131.1,0.486,0.607,20.0,6.2,10,goedgekeurd
LOT-00367,2025-03-30,Leverancier_B,Lactose,99.51,1.95,76.7,135.4,0.456,0.565,19.4,6.7,50,goedgekeurd
LOT-00368,2025-04-02,Leverancier_A,Paracetamol_API,100.0,1.93,81.6,148.8,0.506,0.605,16.4,11.2,10,goedgekeurd
LOT-00369,2024-11-05,Leverancier_D,Paracetamol_API,99.97,1.57,95.2,171.2,0.466,0.583,20.0,8.1,50,goedgekeurd
LOT-00370,2024-12-18,Leverancier_B,Paracetamol_API,99.3,1.88,73.8,127.3,0.476,0.59,19.3,6.5,0,goedgekeurd
LOT-00371,2024-11-19,Leverancier_D,Cellulose_MCC,100.0,1.98,83.8,147.2,0.444,0.574,22.6,11.2,0,goedgekeurd
LOT-00372,2024-08-21,Leverancier_B,Lactose,99.62,1.24,94.6,172.7,0.517,0.632,18.2,9.2,0,goedgekeurd
LOT-00373,2025-04-15,Leverancier_D,Paracetamol_API,99.22,1.6,87.1,148.5,0.499,0.604,17.4,7.6,10,goedgekeurd
LOT-00374,2024-08-15,Leverancier_B,Paracetamol_API,99.61,1.35,96.1,171.3,0.496,0.576,14.0,7.7,0,goedgekeurd
LOT-00375,2024-10-23,Leverancier_A,Cellulose_MCC,99.28,2.1,75.8,135.1,0.489,0.594,17.6,6.1,50,goedgekeurd
LOT-00376,2024-10-14,Leverancier_B,Magnesiumstearaat,100.0,1.97,79.6,151.7,0.451,0.526,14.2,7.1,10,goedgekeurd
LOT-00377,2025-01-22,Leverancier_B,Cellulose_MCC,99.36,2.03,95.0,171.5,0.421,0.521,19.2,7.2,1000,afgekeurd
LOT-00378,2024-07-31,Leverancier_A,Cellulose_MCC,99.6,2.15,74.2,137.5,0.462,0.55,16.1,6.4,10,goedgekeurd
LOT-00379,2025-04-03,Leverancier_C,Cellulose_MCC,99.91,1.45,68.7,128.4,0.451,0.568,20.6,9.4,50,goedgekeurd
LOT-00380,2024-07-10,Leverancier_A,Lactose,99.63,2.19,76.2,138.5,0.427,0.542,21.2,5.1,0,goedgekeurd
LOT-00381,2024-06-13,Leverancier_A,Paracetamol_API,99.22,1.84,89.5,160.8,0.394,0.501,21.4,14.7,0,goedgekeurd
