batch_id,datum,seizoen,product,leverancier,API_zuiverheid_pct,API_vochtgehalte_pct,API_deeltjesgrootte_d50_um,API_bulkdichtheid_gmL,granulatie_water_pct,mengtijd_min,perskracht_kN,perssnelheid_RPM,droogtemp_C,droogtijd_min,coatingtijd_min,ruimte_temp_C,ruimte_RV_pct,gewicht_mg,hardheid_N,dissolutie_pct,brosheid_pct,gehalte_uniformiteit_RSD,restvochtgehalte_pct,coating_gewichtstoename_pct,uiterlijk_score,cyclustijd_min,batchkosten_EUR,goedgekeurd
RX-0105,2025-02-28,winter,Ibuprofen_400mg,Sup_C,99.26,2.06,61.4,0.415,21.1,5.1,23.6,43.0,56.0,49.0,78.0,20.3,37.3,397.9,94.8,68.8,0.353,1.11,1.25,4.6,4.1,196.0,256.0,0
RX-0106,2025-11-18,herfst,Paracetamol_500mg,Sup_B,99.55,2.15,46.5,0.523,20.7,9.8,12.3,43.0,70.0,53.0,32.0,23.5,44.2,499.2,70.3,96.4,0.615,0.83,1.11,4.0,4.5,164.0,233.0,1
RX-0107,2025-11-15,herfst,Aspirine_300mg,Sup_A,99.36,2.18,56.3,0.385,21.1,18.4,24.3,29.0,57.0,38.0,0.0,20.9,45.5,305.1,95.7,67.0,0.153,0.72,1.68,0.0,4.5,122.0,189.0,0
RX-0108,2025-09-01,herfst,Metformin_850mg,Sup_B,99.64,1.66,46.8,0.465,28.7,12.7,16.3,29.0,54.0,43.0,77.0,20.6,48.7,848.7,113.0,86.3,0.362,2.58,0.77,4.6,4.9,191.0,248.0,1
RX-0109,2025-12-26,winter,Omeprazol_20mg,Sup_C,99.36,2.09,55.9,0.427,18.4,11.2,18.7,44.0,63.0,38.0,35.0,20.9,39.1,197.7,60.3,81.4,0.505,2.54,1.09,3.7,3.9,137.0,209.0,1
RX-0110,2025-04-14,lente,Ibuprofen_400mg,Sup_B,99.18,1.92,55.8,0.474,17.8,6.9,23.1,57.0,69.0,41.0,78.0,20.5,46.8,392.6,79.3,71.9,0.535,0.84,1.1,4.4,4.5,190.0,253.0,0
RX-0111,2025-03-31,lente,Ibuprofen_400mg,Sup_C,99.64,2.1,53.3,0.455,28.9,10.7,23.8,30.0,58.0,33.0,34.0,20.2,42.9,404.6,94.4,69.3,0.254,1.53,1.34,3.3,4.0,137.0,205.0,0
RX-0112,2025-10-25,herfst,Metformin_850mg,Sup_A,100.02,2.07,49.3,0.427,22.2,6.8,19.1,42.0,67.0,34.0,77.0,20.8,48.6,848.9,109.6,85.7,0.36,1.32,1.53,4.3,4.3,178.0,241.0,1
RX-0113,2025-08-10,zomer,Paracetamol_500mg,Sup_A,99.73,3.06,54.7,0.5,17.1,18.7,16.7,40.0,50.0,38.0,39.0,22.2,53.4,506.5,93.5,87.2,0.515,1.66,2.29,3.8,4.2,144.0,208.0,1
RX-0114,2025-09-06,herfst,Omeprazol_20mg,Sup_C,99.83,1.54,54.1,0.467,21.8,7.0,21.2,34.0,59.0,47.0,77.0,21.9,44.6,200.3,71.5,73.5,0.238,1.51,0.84,4.4,4.6,190.0,252.0,0
RX-0115,2025-05-29,lente,Ibuprofen_400mg,Sup_B,98.37,2.06,43.0,0.466,18.0,16.2,19.6,36.0,63.0,26.0,36.0,22.8,45.7,394.3,83.6,81.9,0.339,0.62,1.84,3.5,3.9,144.0,205.0,1
RX-0116,2025-02-25,winter,Metformin_850mg,Sup_C,99.39,1.51,50.6,0.49,20.4,6.9,22.6,55.0,59.0,52.0,40.0,20.5,44.4,842.7,113.1,76.1,0.417,0.92,0.6,4.0,4.6,161.0,230.0,1
RX-0117,2025-10-02,herfst,Aspirine_300mg,Sup_C,99.81,2.89,50.1,0.484,26.3,6.5,21.1,30.0,58.0,43.0,0.0,20.2,41.7,298.6,78.3,79.1,0.301,3.77,2.13,0.0,4.1,113.0,188.0,1
RX-0118,2025-03-20,lente,Metformin_850mg,Sup_B,99.65,1.73,50.4,0.491,19.2,19.4,16.1,48.0,66.0,38.0,75.0,21.5,42.1,849.5,101.9,87.7,0.566,1.47,0.84,4.4,4.2,190.0,248.0,1
RX-0119,2025-01-31,winter,Metformin_850mg,Sup_C,99.25,2.26,55.4,0.445,15.8,7.5,16.7,33.0,60.0,43.0,83.0,18.1,37.9,845.7,112.4,80.3,0.391,3.95,1.57,4.9,4.6,196.0,254.0,1
RX-0120,2025-12-27,winter,Metformin_850mg,Sup_A,99.26,2.39,46.9,0.437,24.5,16.4,12.7,49.0,57.0,34.0,63.0,19.3,42.5,855.3,97.5,100.0,0.676,2.73,1.69,4.4,4.1,177.0,232.0,1
RX-0121,2025-04-01,lente,Metformin_850mg,Sup_C,99.31,2.15,31.1,0.496,16.5,16.4,19.6,57.0,67.0,24.0,38.0,22.1,42.8,848.3,98.2,86.4,0.537,1.51,1.7,3.7,4.3,143.0,204.0,1
RX-0122,2025-01-13,winter,Omeprazol_20mg,Sup_B,99.6,1.55,54.2,0.422,16.4,19.8,22.3,30.0,68.0,25.0,61.0,20.8,35.6,194.8,84.2,70.5,0.255,0.21,0.88,4.3,4.4,158.0,221.0,0
RX-0123,2025-08-04,zomer,Ibuprofen_400mg,Sup_C,99.53,2.35,58.8,0.483,29.2,8.9,22.5,24.0,65.0,56.0,40.0,22.6,56.0,400.3,103.1,70.0,0.19,0.65,1.27,4.0,3.7,160.0,235.0,0
RX-0124,2025-10-24,herfst,Omeprazol_20mg,Sup_C,99.51,1.9,31.9,0.41,27.8,14.1,22.4,24.0,50.0,52.0,42.0,21.4,42.1,207.2,74.7,70.1,0.244,2.17,1.21,4.2,4.3,170.0,231.0,0
RX-0125,2025-07-28,zomer,Ibuprofen_400mg,Sup_A,99.95,2.75,54.5,0.473,22.2,7.5,23.0,23.0,56.0,49.0,71.0,22.4,59.2,400.5,98.5,73.5,0.173,2.18,1.69,4.7,3.8,189.0,250.0,0
RX-0126,2025-09-23,herfst,Metformin_850mg,Sup_B,99.77,2.2,57.2,0.453,19.0,18.5,14.9,34.0,61.0,25.0,55.0,20.2,45.1,850.0,110.6,90.1,0.473,0.73,1.69,4.5,4.9,158.0,216.0,1
RX-0127,2025-09-27,herfst,Ibuprofen_400mg,Sup_B,99.46,2.01,54.3,0.415,25.3,14.5,20.8,51.0,53.0,40.0,66.0,20.1,45.0,402.4,84.8,76.4,0.503,1.51,1.64,4.5,5.0,184.0,240.0,1
RX-0128,2025-09-22,herfst,Metformin_850mg,Sup_A,99.3,1.37,45.3,0.493,22.3,5.8,12.3,21.0,60.0,40.0,36.0,22.4,47.8,845.3,101.8,93.7,0.296,0.82,0.81,3.5,3.8,147.0,213.0,1
RX-0129,2025-04-30,lente,Paracetamol_500mg,Sup_B,99.64,2.1,65.2,0.389,25.4,11.6,12.4,24.0,64.0,52.0,52.0,21.6,40.0,496.2,82.8,97.1,0.308,2.11,0.87,4.1,4.0,172.0,240.0,1
RX-0130,2025-05-18,lente,Ibuprofen_400mg,Sup_C,99.69,2.21,43.7,0.479,26.6,9.3,11.6,22.0,51.0,55.0,79.0,22.5,41.7,404.8,59.9,100.0,0.451,2.55,1.35,4.0,4.5,218.0,265.0,1
RX-0131,2025-09-14,herfst,Aspirine_300mg,Sup_A,99.29,2.16,48.4,0.404,26.6,13.2,20.5,33.0,66.0,52.0,0.0,21.4,42.1,301.4,81.3,76.5,0.331,2.99,0.78,0.0,4.5,127.0,205.0,1
RX-0132,2025-02-23,winter,Aspirine_300mg,Sup_B,99.26,1.89,41.0,0.488,22.3,7.3,18.7,39.0,64.0,25.0,0.0,19.1,37.5,301.0,71.4,83.5,0.381,1.39,1.17,0.0,3.9,94.0,169.0,1
RX-0133,2025-11-12,herfst,Omeprazol_20mg,Sup_A,99.41,2.04,52.0,0.448,24.1,13.7,20.2,45.0,64.0,31.0,53.0,21.4,41.2,203.6,64.2,81.4,0.424,0.79,1.44,3.8,4.4,160.0,222.0,1
RX-0134,2025-07-17,zomer,Omeprazol_20mg,Sup_A,99.75,1.98,52.7,0.468,19.6,19.2,18.7,43.0,65.0,30.0,88.0,21.4,52.1,199.0,60.8,80.3,0.457,2.5,1.32,5.0,4.6,187.0,245.0,1
RX-0135,2025-09-11,herfst,Aspirine_300mg,Sup_B,99.65,1.57,49.6,0.503,22.6,18.4,20.8,36.0,69.0,55.0,0.0,19.8,40.0,298.1,81.2,70.9,0.304,2.1,0.5,0.0,4.5,141.0,215.0,0
RX-0136,2025-08-13,zomer,Omeprazol_20mg,Sup_C,99.55,2.97,48.4,0.451,26.0,12.5,8.7,30.0,60.0,57.0,31.0,22.2,55.0,201.4,31.9,100.0,0.529,4.12,1.98,3.5,3.4,162.0,228.0,0
RX-0137,2025-10-18,herfst,Paracetamol_500mg,Sup_A,99.62,2.37,47.3,0.464,25.8,14.7,22.4,34.0,56.0,34.0,48.0,21.4,45.5,500.7,104.5,73.6,0.246,0.9,1.88,3.8,3.9,157.0,219.0,0
RX-0138,2025-04-11,lente,Ibuprofen_400mg,Sup_B,99.63,1.99,52.7,0.471,26.8,11.4,21.5,25.0,68.0,35.0,88.0,21.7,45.0,397.4,100.9,70.0,0.204,0.56,1.39,4.7,5.0,196.0,255.0,0
RX-0139,2025-05-07,lente,Paracetamol_500mg,Sup_C,99.41,2.02,45.8,0.454,23.2,9.7,13.7,49.0,53.0,28.0,79.0,21.5,48.0,505.7,76.0,94.0,0.58,2.4,1.67,4.8,4.9,175.0,231.0,1
RX-0140,2025-04-07,lente,Aspirine_300mg,Sup_A,99.77,1.39,55.1,0.496,27.7,11.8,9.6,27.0,58.0,23.0,0.0,22.2,47.4,301.3,54.5,100.0,0.341,3.8,1.14,0.0,3.7,94.0,165.0,1
RX-0141,2025-05-01,lente,Paracetamol_500mg,Sup_C,99.37,1.6,55.9,0.477,24.8,8.9,22.2,43.0,55.0,34.0,83.0,20.5,47.3,501.5,103.0,72.9,0.443,1.81,1.16,4.5,4.6,184.0,243.0,0
RX-0142,2025-03-20,lente,Metformin_850mg,Sup_A,99.35,2.32,57.5,0.489,16.0,12.9,11.5,23.0,63.0,40.0,75.0,21.0,43.2,844.7,97.7,95.8,0.407,2.93,1.53,4.2,4.0,185.0,244.0,1
RX-0143,2025-04-18,lente,Aspirine_300mg,Sup_C,99.44,2.35,38.0,0.465,28.9,11.4,14.4,49.0,56.0,41.0,0.0,20.7,46.3,305.0,62.9,93.1,0.67,1.61,1.7,0.0,4.5,120.0,189.0,1
RX-0144,2025-11-06,herfst,Aspirine_300mg,Sup_C,99.47,1.2,49.1,0.403,23.5,10.8,18.3,53.0,57.0,21.0,0.0,21.4,38.1,298.8,70.2,76.3,0.492,0.74,0.8,0.0,4.0,94.0,165.0,1
RX-0145,2025-06-11,zomer,Aspirine_300mg,Sup_B,100.13,2.14,50.5,0.443,21.9,17.6,21.4,26.0,62.0,36.0,0.0,20.2,55.8,306.4,83.8,70.5,0.268,3.62,1.32,0.0,4.0,104.0,181.0,0
RX-0146,2025-12-18,winter,Metformin_850mg,Sup_C,99.24,2.23,61.9,0.416,20.9,16.0,17.9,55.0,57.0,34.0,77.0,20.5,38.9,850.2,101.9,87.2,0.591,1.06,1.74,4.4,4.7,191.0,243.0,1
RX-0147,2025-08-10,zomer,Metformin_850mg,Sup_B,99.5,2.59,66.6,0.435,26.0,12.7,24.7,55.0,59.0,54.0,53.0,22.3,55.6,849.0,130.1,65.9,0.469,1.04,1.51,4.2,4.2,179.0,245.0,0
RX-0148,2025-06-29,zomer,Aspirine_300mg,Sup_B,99.97,2.85,38.2,0.374,20.9,6.9,9.4,23.0,59.0,50.0,0.0,21.7,53.5,299.0,32.5,100.0,0.534,0.43,2.11,0.0,3.8,104.0,186.0,0
RX-0149,2025-09-16,herfst,Aspirine_300mg,Sup_C,99.1,1.96,49.6,0.4,18.8,19.3,21.1,29.0,52.0,20.0,0.0,23.3,45.0,296.2,91.8,73.8,0.247,3.4,1.55,0.0,3.8,98.0,165.0,0
RX-0150,2025-06-12,zomer,Omeprazol_20mg,Sup_C,99.46,2.45,43.0,0.472,20.9,7.6,18.9,49.0,62.0,37.0,36.0,23.1,52.0,202.2,52.7,85.4,0.545,0.96,1.62,3.7,3.9,141.0,210.0,1
RX-0151,2025-06-30,zomer,Paracetamol_500mg,Sup_B,99.54,2.86,48.5,0.423,29.9,14.4,20.0,54.0,51.0,48.0,53.0,25.0,53.7,506.3,89.2,80.9,0.546,1.77,2.0,4.0,4.3,178.0,236.0,1
RX-0152,2025-07-20,zomer,Metformin_850mg,Sup_A,99.5,2.27,41.3,0.421,25.1,7.3,13.8,46.0,69.0,21.0,76.0,22.4,56.6,851.6,93.1,94.1,0.62,1.25,2.04,4.4,4.1,174.0,230.0,1
RX-0153,2025-11-11,herfst,Omeprazol_20mg,Sup_B,99.55,2.39,34.3,0.451,28.3,14.3,19.3,27.0,56.0,53.0,72.0,22.4,51.5,202.6,67.4,78.4,0.26,0.95,1.21,4.2,5.0,207.0,262.0,1
RX-0154,2025-06-19,zomer,Omeprazol_20mg,Sup_A,98.81,2.09,51.2,0.493,16.0,19.0,11.5,45.0,65.0,38.0,65.0,23.5,49.9,189.4,41.3,99.9,0.599,4.16,1.43,4.3,4.0,181.0,239.0,0
RX-0155,2025-08-27,zomer,Paracetamol_500mg,Sup_A,99.18,1.76,59.9,0.485,18.4,13.3,11.9,59.0,63.0,49.0,70.0,22.4,53.2,499.3,67.3,97.3,0.748,2.31,0.79,4.2,4.4,188.0,250.0,1
RX-0156,2025-06-16,zomer,Ibuprofen_400mg,Sup_B,99.39,2.5,43.0,0.445,22.6,11.6,8.9,22.0,70.0,29.0,75.0,22.9,52.4,401.9,44.8,100.0,0.401,2.96,1.82,4.2,4.6,181.0,237.0,1
RX-0157,2025-01-10,winter,Ibuprofen_400mg,Sup_C,99.2,1.82,54.0,0.428,17.4,15.1,11.6,44.0,66.0,56.0,31.0,20.6,38.8,398.4,59.0,96.8,0.643,2.33,0.57,3.9,3.8,166.0,233.0,1
RX-0158,2025-04-02,lente,Aspirine_300mg,Sup_C,99.76,2.41,36.2,0.488,20.6,11.1,16.1,52.0,57.0,43.0,0.0,20.4,45.0,302.0,55.2,91.8,0.454,1.29,1.83,0.0,3.7,115.0,187.0,1
RX-0159,2025-09-30,herfst,Metformin_850mg,Sup_A,99.93,1.59,42.8,0.416,24.1,14.0,13.1,44.0,65.0,37.0,72.0,19.7,49.0,850.1,97.3,90.1,0.602,1.77,0.89,4.6,4.4,178.0,240.0,1
RX-0160,2025-08-31,zomer,Paracetamol_500mg,Sup_A,99.99,2.37,47.0,0.378,19.2,16.4,15.2,52.0,55.0,51.0,65.0,23.0,56.6,501.4,76.9,88.4,0.62,1.39,1.45,4.2,3.7,185.0,245.0,1
RX-0161,2025-05-14,lente,Paracetamol_500mg,Sup_B,99.49,1.69,62.0,0.421,20.4,16.3,22.5,39.0,51.0,23.0,31.0,21.4,46.8,494.0,109.0,71.9,0.236,2.42,1.44,3.4,4.2,126.0,191.0,0
RX-0162,2025-12-19,winter,Ibuprofen_400mg,Sup_A,99.81,1.88,56.4,0.458,23.9,17.8,8.4,40.0,61.0,37.0,46.0,20.2,37.3,401.5,53.6,100.0,0.568,4.17,1.04,3.9,4.1,169.0,225.0,1
RX-0163,2025-04-05,lente,Aspirine_300mg,Sup_A,99.3,2.0,47.4,0.428,17.0,16.0,21.8,20.0,62.0,39.0,0.0,21.6,47.6,295.5,86.7,73.7,0.133,0.46,0.81,0.0,3.7,106.0,183.0,0
RX-0164,2025-03-09,lente,Ibuprofen_400mg,Sup_B,99.47,2.53,50.9,0.487,21.3,18.9,18.7,48.0,55.0,46.0,73.0,21.8,46.6,396.2,80.3,82.4,0.482,0.67,1.75,4.4,4.4,193.0,249.0,1
RX-0165,2025-11-11,herfst,Aspirine_300mg,Sup_C,99.31,2.16,45.8,0.471,27.2,13.6,17.9,21.0,53.0,40.0,0.0,22.8,43.6,298.4,71.3,77.5,0.287,1.98,1.7,0.0,3.7,116.0,186.0,1
RX-0166,2025-08-16,zomer,Metformin_850mg,Sup_B,99.7,2.35,42.0,0.468,20.3,5.3,18.1,29.0,55.0,24.0,61.0,24.1,52.1,845.9,106.0,85.3,0.377,0.79,1.92,4.0,4.5,150.0,212.0,1
RX-0167,2025-03-20,lente,Metformin_850mg,Sup_C,99.45,2.12,48.5,0.441,28.7,11.2,17.2,41.0,61.0,36.0,46.0,21.1,45.1,854.9,105.1,86.0,0.458,1.62,1.33,4.0,4.8,152.0,218.0,1
RX-0168,2025-09-27,herfst,Omeprazol_20mg,Sup_A,99.93,2.2,54.5,0.438,26.8,20.0,22.1,39.0,52.0,50.0,78.0,21.6,43.9,200.1,71.0,72.5,0.387,3.41,1.59,4.6,5.0,206.0,259.0,0
RX-0169,2025-04-14,lente,Aspirine_300mg,Sup_B,99.85,1.82,50.8,0.475,29.9,19.8,20.1,20.0,53.0,25.0,0.0,21.1,38.5,302.8,77.2,76.9,0.203,2.62,1.31,0.0,4.0,108.0,174.0,1
RX-0170,2025-03-11,lente,Metformin_850mg,Sup_C,99.22,2.3,70.9,0.497,22.8,15.9,16.0,52.0,57.0,43.0,59.0,22.6,44.1,853.4,95.8,91.4,0.616,1.18,1.28,4.2,4.5,174.0,235.0,1
RX-0171,2025-05-18,lente,Aspirine_300mg,Sup_C,99.86,1.61,47.1,0.465,26.5,12.2,16.6,33.0,61.0,44.0,0.0,20.6,44.0,302.7,67.5,91.0,0.292,2.8,1.07,0.0,3.7,108.0,187.0,1
RX-0172,2025-09-15,herfst,Metformin_850mg,Sup_A,99.96,2.18,44.2,0.438,21.0,12.8,19.9,21.0,56.0,43.0,42.0,19.6,49.2,855.8,127.4,76.8,0.192,1.23,1.48,3.7,4.1,155.0,220.0,1
RX-0173,2025-08-31,zomer,Aspirine_300mg,Sup_C,99.88,2.28,38.4,0.483,19.4,15.5,11.1,56.0,61.0,46.0,0.0,21.5,56.0,296.3,37.2,100.0,0.768,1.0,1.68,0.0,4.2,122.0,194.0,0
RX-0174,2025-03-02,lente,Paracetamol_500mg,Sup_C,99.47,2.38,57.2,0.493,24.1,14.2,19.9,41.0,69.0,56.0,56.0,19.6,39.9,495.4,90.8,78.0,0.477,0.7,1.05,3.9,4.2,185.0,255.0,1
RX-0175,2025-12-15,winter,Aspirine_300mg,Sup_B,99.42,1.86,43.5,0.45,23.9,16.1,11.1,30.0,65.0,26.0,0.0,21.6,42.0,299.4,62.5,95.5,0.445,2.5,1.14,0.0,4.4,100.0,172.0,1
RX-0176,2025-02-04,winter,Metformin_850mg,Sup_B,99.52,1.75,55.1,0.472,15.2,18.1,18.6,33.0,67.0,42.0,84.0,19.2,41.4,841.5,118.0,74.1,0.357,1.95,0.94,4.7,4.9,202.0,260.0,0
RX-0177,2025-03-10,lente,Metformin_850mg,Sup_B,99.07,2.39,52.9,0.478,20.1,12.2,11.4,34.0,63.0,21.0,74.0,20.8,53.9,851.9,88.6,94.4,0.392,1.94,2.11,4.2,4.2,167.0,223.0,1
RX-0178,2025-04-19,lente,Metformin_850mg,Sup_A,99.55,1.78,41.9,0.496,17.9,11.7,16.6,51.0,57.0,25.0,74.0,20.2,45.1,849.0,96.9,85.7,0.522,0.82,1.18,4.6,4.6,165.0,224.0,1
RX-0179,2025-12-27,winter,Paracetamol_500mg,Sup_B,99.55,2.13,53.7,0.401,16.7,15.0,15.8,23.0,52.0,42.0,63.0,19.4,32.5,497.6,90.9,86.4,0.371,2.21,1.89,4.1,3.9,194.0,243.0,1
RX-0180,2025-08-10,zomer,Metformin_850mg,Sup_A,99.31,2.22,60.9,0.43,28.3,11.7,19.7,44.0,62.0,51.0,32.0,22.1,53.2,852.6,114.6,82.1,0.476,0.56,1.36,3.6,4.3,161.0,229.0,1
RX-0181,2025-10-26,herfst,Ibuprofen_400mg,Sup_C,99.39,1.9,49.2,0.481,24.8,16.7,24.4,31.0,62.0,26.0,38.0,21.4,40.7,401.5,108.8,63.8,0.202,2.27,0.93,3.5,3.8,137.0,204.0,0
RX-0182,2025-01-24,winter,Ibuprofen_400mg,Sup_A,99.33,1.97,41.8,0.499,21.9,11.5,20.2,25.0,50.0,21.0,70.0,19.7,38.5,400.3,87.1,81.7,0.255,1.98,1.51,4.5,4.8,161.0,219.0,1
RX-0183,2025-07-14,zomer,Aspirine_300mg,Sup_C,99.45,2.75,53.2,0.445,15.6,18.9,10.3,23.0,68.0,23.0,0.0,24.3,50.9,300.3,60.7,99.8,0.504,3.2,2.32,0.0,3.6,104.0,171.0,1
RX-0184,2025-05-04,lente,Paracetamol_500mg,Sup_B,99.66,2.24,43.2,0.458,28.0,9.4,23.1,43.0,69.0,59.0,88.0,22.3,53.2,504.1,104.2,71.3,0.43,1.32,0.78,5.1,4.3,221.0,285.0,0
RX-0185,2025-09-26,herfst,Metformin_850mg,Sup_A,99.45,1.87,56.1,0.482,16.9,11.3,20.9,58.0,65.0,49.0,79.0,22.8,42.0,851.3,115.6,74.2,0.602,0.69,0.85,4.6,4.3,194.0,259.0,0
RX-0186,2025-04-01,lente,Aspirine_300mg,Sup_C,99.85,2.01,59.1,0.456,22.6,13.4,14.0,56.0,64.0,41.0,0.0,20.6,47.9,304.7,49.0,94.3,0.647,2.41,1.0,0.0,4.3,115.0,189.0,1
RX-0187,2025-03-16,lente,Paracetamol_500mg,Sup_C,99.44,2.07,54.2,0.424,23.3,18.3,9.2,47.0,56.0,36.0,60.0,20.5,42.7,503.1,58.6,100.0,0.689,2.71,1.69,4.3,5.0,183.0,234.0,1
RX-0188,2025-02-14,winter,Aspirine_300mg,Sup_A,99.25,1.6,56.7,0.489,16.2,15.2,8.1,38.0,59.0,50.0,0.0,20.0,37.2,298.8,50.1,100.0,0.588,0.55,0.87,0.0,4.2,123.0,195.0,1
RX-0189,2025-12-05,winter,Paracetamol_500mg,Sup_A,99.55,1.88,47.4,0.511,26.5,10.2,21.4,39.0,53.0,49.0,81.0,18.7,37.0,500.0,101.9,73.4,0.315,0.65,1.12,4.7,4.2,200.0,257.0,0
RX-0190,2025-04-15,lente,Metformin_850mg,Sup_A,99.49,1.97,35.9,0.474,29.2,15.3,15.3,50.0,60.0,50.0,39.0,19.5,43.0,853.9,90.1,91.4,0.644,3.0,0.92,3.8,4.0,173.0,235.0,1
RX-0191,2025-09-01,herfst,Paracetamol_500mg,Sup_C,99.19,2.04,48.3,0.483,25.4,19.8,18.6,33.0,55.0,52.0,35.0,20.9,43.6,505.6,89.8,82.0,0.412,0.34,1.32,3.3,4.4,163.0,227.0,1
RX-0192,2025-04-19,lente,Ibuprofen_400mg,Sup_B,98.93,2.02,47.6,0.427,24.2,10.5,12.0,36.0,70.0,57.0,90.0,20.7,42.3,399.6,66.0,100.0,0.386,2.12,0.69,4.4,5.0,210.0,277.0,1
RX-0193,2025-02-15,winter,Ibuprofen_400mg,Sup_B,99.41,1.83,59.3,0.437,15.1,15.4,23.9,60.0,58.0,46.0,83.0,20.3,43.6,396.0,92.8,72.1,0.508,2.12,1.18,4.8,4.9,210.0,262.0,0
RX-0194,2025-12-07,winter,Aspirine_300mg,Sup_B,99.39,1.54,38.8,0.443,16.5,13.6,17.2,44.0,70.0,25.0,0.0,22.1,42.4,292.3,66.9,81.2,0.473,1.37,0.74,0.0,3.8,97.0,171.0,1
RX-0195,2025-09-04,herfst,Paracetamol_500mg,Sup_C,99.45,2.09,55.9,0.466,28.1,18.1,21.3,22.0,56.0,49.0,72.0,20.7,41.4,498.0,107.7,75.1,0.239,0.36,1.02,4.3,4.3,201.0,256.0,1
RX-0196,2025-03-14,lente,Ibuprofen_400mg,Sup_A,99.53,1.96,60.7,0.481,28.6,17.9,18.6,25.0,67.0,39.0,52.0,21.1,48.0,403.3,96.9,77.1,0.277,1.29,1.44,4.0,4.4,164.0,230.0,1
RX-0197,2025-02-28,winter,Paracetamol_500mg,Sup_A,99.39,2.09,50.4,0.475,28.1,11.1,19.3,58.0,61.0,28.0,52.0,19.9,41.6,507.8,85.1,87.8,0.571,2.32,1.62,3.9,4.6,151.0,215.0,1
RX-0198,2025-08-11,zomer,Aspirine_300mg,Sup_A,99.51,3.2,43.1,0.472,24.4,7.5,8.6,49.0,67.0,48.0,0.0,23.2,51.3,302.2,30.4,100.0,0.705,0.94,2.3,0.0,4.3,118.0,196.0,0
RX-0199,2025-01-21,winter,Paracetamol_500mg,Sup_C,99.54,1.73,54.3,0.398,25.9,8.5,20.1,41.0,62.0,44.0,58.0,20.6,35.7,501.1,98.6,74.7,0.382,2.49,0.89,4.6,4.2,167.0,234.0,0
RX-0200,2025-08-29,zomer,Paracetamol_500mg,Sup_A,99.73,2.23,64.1,0.465,16.9,6.3,22.8,32.0,68.0,51.0,52.0,23.6,54.3,496.8,104.6,68.3,0.308,0.35,0.85,4.0,4.1,172.0,243.0,0
RX-0201,2025-05-01,lente,Aspirine_300mg,Sup_C,99.77,2.36,58.0,0.477,25.2,10.7,14.3,24.0,69.0,33.0,0.0,22.5,40.6,303.0,67.5,89.8,0.359,0.14,1.73,0.0,4.2,107.0,181.0,1
RX-0202,2025-02-13,winter,Aspirine_300mg,Sup_A,99.08,1.25,61.4,0.456,26.8,15.8,16.4,39.0,58.0,37.0,0.0,20.2,41.2,298.5,70.5,79.7,0.426,1.53,0.64,0.0,4.3,107.0,181.0,1
RX-0203,2025-07-08,zomer,Ibuprofen_400mg,Sup_C,99.56,2.56,58.5,0.431,21.2,17.7,8.2,46.0,59.0,38.0,35.0,22.6,51.8,403.7,45.0,100.0,0.733,2.57,2.02,3.5,4.1,160.0,217.0,1
RX-0204,2025-08-18,zomer,Ibuprofen_400mg,Sup_C,99.36,1.88,48.2,0.379,17.1,9.6,18.8,56.0,69.0,60.0,35.0,22.4,56.6,397.6,73.4,85.8,0.481,1.98,0.6,3.7,3.5,166.0,240.0,1
RX-0205,2025-09-25,herfst,Ibuprofen_400mg,Sup_B,99.23,1.98,52.2,0.402,18.9,6.6,11.7,43.0,60.0,46.0,65.0,21.5,46.6,394.5,55.0,100.0,0.602,0.25,0.86,4.3,4.8,177.0,240.0,1
RX-0206,2025-07-06,zomer,Ibuprofen_400mg,Sup_B,99.12,2.82,37.4,0.436,23.2,6.5,20.1,28.0,60.0,45.0,89.0,21.5,51.7,404.3,85.3,82.9,0.227,0.85,2.13,4.7,4.4,201.0,261.0,1
RX-0207,2025-11-08,herfst,Paracetamol_500mg,Sup_B,99.45,2.43,43.8,0.452,15.7,17.2,10.6,43.0,63.0,37.0,60.0,21.5,40.9,499.3,64.3,100.0,0.724,1.07,1.9,4.0,4.4,176.0,233.0,1
RX-0208,2025-07-04,zomer,Metformin_850mg,Sup_C,99.99,2.51,41.1,0.452,24.7,14.7,23.5,53.0,63.0,26.0,69.0,22.7,48.9,856.4,116.1,81.8,0.566,3.78,2.04,4.4,4.4,169.0,229.0,1
RX-0209,2025-08-27,zomer,Aspirine_300mg,Sup_C,99.41,2.53,62.0,0.479,26.6,13.4,15.8,41.0,62.0,47.0,0.0,22.7,59.0,304.3,68.8,89.7,0.469,2.63,1.71,0.0,4.1,121.0,195.0,1
RX-0210,2025-11-01,herfst,Paracetamol_500mg,Sup_C,99.18,2.04,61.0,0.456,15.2,6.1,24.1,23.0,60.0,35.0,60.0,20.3,41.9,493.4,115.7,62.4,0.194,1.36,1.42,4.3,4.3,155.0,223.0,0
RX-0211,2025-03-08,lente,Metformin_850mg,Sup_A,99.24,1.65,43.2,0.464,28.5,9.3,21.5,52.0,54.0,56.0,36.0,21.2,43.7,855.5,120.5,75.2,0.392,2.14,0.7,3.5,4.4,162.0,229.0,1
RX-0212,2025-05-05,lente,Omeprazol_20mg,Sup_A,99.43,2.2,57.3,0.409,15.9,12.3,21.9,40.0,69.0,43.0,50.0,21.5,47.5,201.9,71.0,76.8,0.409,0.31,1.38,4.2,4.4,155.0,228.0,1
