sample_id,interventie,omgevingstemp_C,operator_ervaring_jaar,katalysator_type,roersnelheid_RPM,koelwater_temp_C,luchtvochtigheid_pct,druk_bar,activeringsenergie_kJmol,reactor_temp_C,menging_index,selectiviteit,conversie,opbrengst_pct,energieverbruik_kWh,vochtgehalte_product_pct
CI-01150,observatie,13.8,17.8,Pt/Al2O3,297,18.3,62.5,2.83,43.1,148.1,0.79,0.839,0.7049,58.8,54.1,2.13
CI-01151,observatie,33.9,2.3,Ni/SiO2,194,28.1,72.5,8.93,62.8,160.3,0.819,0.798,0.7697,60.7,53.2,2.24
CI-01152,observatie,26.2,13.7,Pt/Al2O3,292,26.6,68.6,1.19,45.4,149.0,0.806,0.824,0.6604,53.8,55.6,1.4
CI-01153,do(druk=8),11.0,3.6,Pd/C,202,18.8,62.2,8.0,50.2,160.8,0.75,0.893,0.8108,74.0,47.6,1.78
CI-01154,observatie,24.4,6.8,Ni/SiO2,248,26.3,65.9,3.88,60.0,153.7,0.8,0.812,0.658,54.0,52.6,1.79
CI-01155,observatie,21.2,11.2,Ni/SiO2,242,20.7,64.9,1.02,60.8,141.3,0.785,0.802,0.6326,50.5,50.8,2.38
CI-01156,observatie,18.0,8.0,Pt/Al2O3,234,21.5,67.2,4.02,44.5,152.2,0.72,0.814,0.732,60.4,53.1,1.83
CI-01157,observatie,19.8,6.8,Pt/Al2O3,245,21.4,65.4,5.51,45.9,155.9,0.808,0.838,0.7272,61.4,51.6,1.54
CI-01158,observatie,24.3,5.9,Pt/Al2O3,221,24.4,64.7,1.5,41.5,149.4,0.794,0.853,0.7052,58.9,50.5,1.95
CI-01159,observatie,31.9,10.2,Pt/Al2O3,244,28.7,66.3,1.1,44.7,153.7,0.745,0.865,0.6714,57.8,51.3,1.82
CI-01160,observatie,8.3,18.5,Pt/Al2O3,317,17.7,53.0,3.4,47.8,152.1,0.805,0.863,0.7365,63.4,58.4,1.77
CI-01161,observatie,31.4,3.8,Pd/C,250,28.1,72.3,2.51,49.5,153.5,0.793,0.878,0.7113,63.5,51.6,2.24
CI-01162,observatie,23.2,0.4,Pt/Al2O3,210,22.5,64.8,6.3,44.4,157.6,0.748,0.793,0.7835,64.0,52.0,1.4
CI-01163,observatie,-3.7,7.1,Ni/SiO2,202,13.8,55.1,6.13,60.8,147.6,0.727,0.802,0.7021,57.9,52.6,1.51
CI-01164,do(druk=8),15.7,14.2,Ni/SiO2,272,21.8,69.1,8.0,60.2,154.3,0.839,0.812,0.7171,56.8,49.1,1.58
CI-01165,observatie,9.3,6.5,Pd/C,234,18.6,56.5,5.32,50.1,152.9,0.784,0.865,0.7425,64.9,52.7,1.21
CI-01166,observatie,7.5,5.9,Pt/Al2O3,227,17.8,51.3,6.6,46.6,154.6,0.778,0.848,0.752,63.0,53.9,1.64
CI-01167,observatie,24.5,7.9,Pt/Al2O3,230,24.2,67.5,7.46,49.5,158.3,0.769,0.828,0.7486,62.4,51.6,2.31
CI-01168,observatie,35.5,14.3,Ni/SiO2,275,30.0,80.1,2.88,58.3,153.3,0.766,0.83,0.7226,62.2,53.6,1.97
CI-01169,do(roersnelheid=300),25.9,13.1,Pt/Al2O3,300,26.2,65.2,4.56,45.0,156.9,0.817,0.863,0.7771,66.9,52.5,1.51
CI-01170,observatie,19.3,5.5,Pd/C,240,23.1,63.9,2.86,49.4,153.2,0.788,0.925,0.7013,66.3,48.0,2.11
CI-01171,observatie,20.8,10.6,Pt/Al2O3,243,23.5,65.6,1.87,47.6,147.1,0.741,0.81,0.6687,53.3,51.8,1.49
CI-01172,observatie,15.7,9.0,Pd/C,222,22.2,66.5,7.91,49.1,156.4,0.778,0.911,0.7664,68.7,50.1,1.57
CI-01173,observatie,23.5,17.4,Pd/C,262,24.7,69.1,5.82,48.2,156.3,0.784,0.883,0.7386,66.0,52.8,1.74
CI-01174,observatie,20.7,8.4,Pd/C,238,22.8,61.4,4.01,49.3,149.9,0.784,0.885,0.7381,63.9,50.1,1.33
CI-01175,observatie,30.2,5.4,Pd/C,273,25.8,80.1,1.19,50.4,145.7,0.796,0.89,0.6915,62.3,52.4,2.18
CI-01176,observatie,24.0,5.5,Ni/SiO2,235,25.7,70.9,4.69,58.7,152.2,0.792,0.798,0.7082,56.3,48.1,1.71
CI-01177,observatie,2.1,8.6,Pd/C,228,16.6,54.3,8.71,50.9,163.4,0.726,0.906,0.7712,68.4,52.5,1.26
CI-01178,observatie,18.3,0.5,Pt/Al2O3,221,22.5,57.4,8.46,43.4,164.4,0.726,0.862,0.8117,69.4,53.9,1.4
CI-01179,observatie,24.5,10.5,Pd/C,266,24.6,63.1,9.81,49.0,160.9,0.795,0.899,0.7899,71.1,53.0,1.6
CI-01180,observatie,31.3,13.3,Pd/C,237,28.4,81.7,5.84,51.8,156.5,0.743,0.91,0.7318,67.6,55.5,2.18
CI-01181,observatie,24.6,5.1,Pd/C,268,25.1,74.8,2.79,51.4,152.5,0.771,0.873,0.7204,63.3,52.8,1.5
CI-01182,observatie,42.1,15.1,Pt/Al2O3,271,32.4,79.6,3.33,47.2,159.8,0.796,0.861,0.7436,64.4,55.7,2.13
CI-01183,observatie,22.5,12.3,Pt/Al2O3,263,25.1,71.9,6.28,45.7,157.5,0.812,0.917,0.7477,68.9,56.1,2.1
CI-01184,observatie,22.2,0.4,Pd/C,227,23.3,63.3,3.8,47.8,152.0,0.78,0.874,0.6956,62.7,52.3,2.34
CI-01185,observatie,18.2,19.9,Pd/C,270,23.0,57.4,5.7,49.9,155.0,0.836,0.911,0.722,65.7,55.7,1.92
CI-01186,observatie,23.7,17.6,Pd/C,285,24.9,65.6,9.06,54.7,166.0,0.8,0.918,0.779,70.4,57.2,1.6
CI-01187,observatie,7.7,17.8,Pt/Al2O3,281,17.0,52.1,3.54,43.9,148.6,0.801,0.821,0.698,57.2,52.1,1.9
CI-01188,observatie,10.9,15.4,Ni/SiO2,309,17.6,59.5,9.48,58.8,161.8,0.851,0.795,0.7767,62.6,56.6,1.47
CI-01189,observatie,20.5,7.9,Pt/Al2O3,240,22.5,66.0,3.14,42.4,152.9,0.786,0.882,0.7414,66.2,52.3,2.06
CI-01190,observatie,24.3,7.8,Pd/C,232,25.3,69.1,7.98,49.3,159.8,0.719,0.913,0.79,71.8,54.4,1.4
CI-01191,observatie,25.2,9.1,Ni/SiO2,279,23.8,68.1,9.88,59.2,163.4,0.784,0.798,0.7924,63.8,61.6,1.49
CI-01192,observatie,10.7,0.4,Pd/C,176,20.2,59.9,8.55,47.7,159.8,0.719,0.913,0.7776,73.5,51.4,1.23
CI-01193,observatie,8.1,4.8,Pd/C,234,17.1,46.7,1.92,52.8,141.2,0.784,0.89,0.6678,58.6,48.0,0.91
CI-01194,observatie,14.0,2.9,Pt/Al2O3,240,22.5,71.5,9.57,41.3,164.5,0.778,0.854,0.8197,70.9,53.8,2.04
CI-01195,observatie,17.2,5.4,Pt/Al2O3,245,21.4,58.8,6.63,44.5,161.7,0.774,0.858,0.7799,65.0,58.0,1.29
CI-01196,do(roersnelheid=300),29.7,17.1,Pd/C,300,25.8,74.7,2.09,48.2,153.0,0.805,0.906,0.7385,66.8,56.3,2.7
CI-01197,observatie,20.6,16.8,Pt/Al2O3,295,23.4,68.6,1.78,42.2,149.1,0.799,0.875,0.7056,60.1,54.7,1.84
CI-01198,observatie,23.9,19.6,Ni/SiO2,339,23.6,68.7,9.31,60.2,160.3,0.869,0.792,0.7821,62.6,59.7,1.79
CI-01199,observatie,30.2,10.6,Pd/C,241,28.3,75.2,3.72,49.4,155.6,0.79,0.893,0.715,64.6,51.8,1.47
CI-01200,observatie,20.9,11.3,Pt/Al2O3,279,23.8,71.8,8.15,43.9,163.6,0.843,0.876,0.8084,68.8,60.7,1.83
CI-01201,observatie,12.4,9.9,Pt/Al2O3,241,21.5,67.7,6.61,43.1,160.3,0.789,0.87,0.7457,64.0,56.1,1.47
CI-01202,observatie,18.5,19.1,Pt/Al2O3,312,23.7,55.5,8.18,42.7,163.3,0.846,0.895,0.7779,69.0,57.4,1.38
CI-01203,observatie,31.9,8.7,Pd/C,274,27.4,74.3,1.45,48.5,151.9,0.815,0.881,0.6964,61.5,51.6,1.36
CI-01204,observatie,9.7,18.4,Pd/C,300,18.0,69.3,6.99,51.5,151.3,0.801,0.927,0.7164,66.9,55.5,2.15
CI-01205,observatie,9.7,2.9,Pt/Al2O3,209,18.3,58.5,7.6,44.7,155.2,0.734,0.801,0.7961,64.5,51.4,1.38
CI-01206,observatie,28.3,11.7,Pt/Al2O3,244,26.8,68.1,1.15,42.7,153.0,0.774,0.827,0.6974,57.6,54.8,1.54
CI-01207,observatie,30.2,5.7,Pd/C,235,26.5,72.5,4.05,53.0,151.5,0.788,0.91,0.7183,65.2,53.3,2.46
CI-01208,observatie,11.5,13.6,Pt/Al2O3,295,19.3,67.7,6.51,47.1,155.3,0.846,0.862,0.7408,63.0,56.9,1.92
CI-01209,observatie,8.4,5.3,Ni/SiO2,224,17.5,51.7,1.15,57.9,141.9,0.807,0.797,0.5885,47.4,48.8,1.08
CI-01210,observatie,11.8,5.3,Pt/Al2O3,235,19.2,65.2,8.02,47.9,158.0,0.744,0.85,0.7744,64.7,48.7,1.28
CI-01211,observatie,18.0,11.4,Pt/Al2O3,275,23.2,58.6,4.26,45.0,148.3,0.805,0.818,0.7264,58.5,52.9,1.94
CI-01212,observatie,25.3,18.0,Pd/C,309,24.9,72.3,4.47,51.5,154.2,0.818,0.882,0.733,64.3,54.3,2.12
CI-01213,observatie,27.1,9.4,Ni/SiO2,245,27.6,84.6,9.47,64.1,159.1,0.77,0.795,0.7453,57.5,55.2,1.92
CI-01214,observatie,30.6,10.3,Pt/Al2O3,226,25.6,72.4,9.1,45.8,161.9,0.792,0.903,0.8355,75.7,53.0,2.31
CI-01215,observatie,18.2,3.7,Pd/C,227,21.1,63.0,7.86,48.5,159.7,0.749,0.92,0.7667,69.6,53.2,1.59
CI-01216,observatie,16.6,7.3,Ni/SiO2,253,21.8,64.8,9.02,59.0,159.5,0.804,0.807,0.7323,58.5,54.5,1.44
CI-01217,observatie,7.9,12.1,Ni/SiO2,294,16.3,54.2,9.08,56.8,157.7,0.843,0.801,0.7551,61.8,55.2,0.9
CI-01218,observatie,18.8,9.3,Ni/SiO2,263,23.4,66.7,8.37,56.7,161.8,0.835,0.802,0.7691,60.9,54.9,1.78
CI-01219,observatie,20.5,17.9,Pd/C,289,22.9,58.9,1.42,53.7,145.5,0.806,0.855,0.6572,55.1,56.7,2.03
CI-01220,observatie,31.9,5.4,Ni/SiO2,255,27.4,69.8,9.18,60.1,161.7,0.778,0.814,0.7793,62.1,56.2,1.25
CI-01221,observatie,22.0,18.9,Pd/C,271,25.2,71.5,7.48,50.5,158.0,0.77,0.878,0.7579,67.2,52.6,1.79
CI-01222,observatie,33.0,9.0,Pt/Al2O3,264,28.1,80.4,8.12,46.6,168.6,0.793,0.917,0.8042,73.2,60.2,2.43
CI-01223,observatie,28.5,7.2,Pd/C,216,25.8,73.8,3.5,51.7,152.6,0.803,0.942,0.7098,65.4,53.9,1.26
CI-01224,observatie,25.3,6.4,Ni/SiO2,251,26.1,64.4,4.72,60.0,154.2,0.746,0.828,0.6865,54.4,53.1,2.28
CI-01225,observatie,38.2,5.2,Pd/C,219,32.4,70.9,9.2,50.3,167.0,0.741,0.875,0.7997,71.2,55.2,2.19
CI-01226,observatie,8.3,17.9,Ni/SiO2,256,18.0,61.4,2.15,60.9,143.9,0.775,0.822,0.6702,54.5,48.6,2.02
CI-01227,observatie,13.8,16.6,Pd/C,285,19.9,58.9,2.0,48.7,146.1,0.819,0.867,0.6859,58.9,53.9,1.69
CI-01228,observatie,31.9,18.0,Pd/C,194,27.8,72.4,4.27,47.7,156.5,0.749,0.916,0.7327,65.7,52.5,1.67
CI-01229,observatie,34.4,19.2,Pd/C,250,27.7,80.7,3.96,49.2,157.9,0.81,0.894,0.7515,68.8,57.5,2.14
CI-01230,observatie,32.7,1.5,Pd/C,219,28.9,74.8,4.52,52.8,152.9,0.757,0.924,0.7458,68.9,51.8,2.3
CI-01231,observatie,2.9,11.0,Pd/C,218,17.0,58.0,2.14,47.1,150.1,0.785,0.897,0.6917,60.8,53.2,2.55
CI-01232,do(druk=8),10.8,19.0,Pd/C,287,20.4,57.9,8.0,47.8,160.8,0.763,0.897,0.7837,69.2,54.2,2.04
CI-01233,observatie,11.3,1.7,Pd/C,217,20.8,62.0,5.31,50.2,154.0,0.768,0.901,0.7079,65.4,53.7,1.43
CI-01234,observatie,10.1,10.9,Pt/Al2O3,296,18.2,64.0,9.84,45.2,161.8,0.82,0.875,0.8037,71.5,60.0,1.68
CI-01235,observatie,24.7,17.8,Ni/SiO2,315,25.3,64.2,6.07,59.5,157.8,0.818,0.82,0.7284,61.0,56.5,2.11
CI-01236,observatie,36.7,17.1,Pd/C,262,29.4,77.7,4.82,50.1,156.2,0.736,0.918,0.7586,69.0,51.8,2.45
CI-01237,observatie,41.7,1.0,Pd/C,219,30.4,86.1,5.4,50.8,159.6,0.805,0.866,0.7504,63.4,51.4,2.29
CI-01238,observatie,18.9,4.1,Ni/SiO2,213,22.4,61.9,1.27,61.9,144.9,0.765,0.786,0.6244,48.2,52.7,1.89
CI-01239,observatie,32.7,3.5,Ni/SiO2,210,27.5,77.0,2.2,57.5,145.5,0.725,0.763,0.6381,48.2,48.4,1.94
CI-01240,observatie,27.5,16.9,Ni/SiO2,276,25.9,73.9,3.79,61.7,148.3,0.781,0.829,0.6602,54.2,54.7,1.99
CI-01241,observatie,1.3,12.5,Pd/C,262,16.5,58.5,2.14,50.7,143.0,0.742,0.899,0.6422,58.1,52.7,1.88
CI-01242,observatie,13.6,6.4,Pd/C,217,20.6,66.4,8.39,48.0,158.6,0.817,0.955,0.773,73.1,53.5,1.22
CI-01243,observatie,22.7,8.5,Pd/C,245,23.9,63.2,4.19,46.9,152.5,0.771,0.883,0.7095,63.1,50.9,1.59
CI-01244,observatie,22.6,6.5,Pt/Al2O3,226,23.6,83.3,3.03,47.4,152.8,0.763,0.867,0.6984,61.9,57.2,2.15
CI-01245,observatie,17.0,15.7,Pt/Al2O3,277,24.1,64.1,5.94,47.7,154.6,0.792,0.833,0.7562,64.2,50.3,1.46
CI-01246,observatie,2.7,18.9,Pt/Al2O3,300,15.6,58.6,3.53,45.7,146.4,0.762,0.889,0.7009,61.6,57.3,1.21
CI-01247,observatie,9.7,7.3,Pd/C,218,17.8,50.9,6.4,50.6,152.0,0.76,0.88,0.6931,60.7,48.9,1.46
CI-01248,observatie,23.8,2.0,Ni/SiO2,214,25.1,71.4,4.77,58.7,149.9,0.754,0.798,0.6668,52.0,51.4,1.99
CI-01249,observatie,7.5,12.6,Pd/C,262,18.3,55.2,3.0,50.0,147.7,0.815,0.898,0.7161,64.7,52.6,1.21
CI-01250,observatie,26.9,0.7,Pd/C,172,25.4,61.7,2.57,52.5,149.0,0.645,0.915,0.6925,63.1,44.0,2.04
CI-01251,observatie,18.0,5.9,Ni/SiO2,243,20.9,65.7,8.12,59.2,155.2,0.775,0.836,0.7702,65.4,54.2,2.32
CI-01252,observatie,24.1,16.7,Pt/Al2O3,318,22.5,72.6,6.55,42.7,160.4,0.758,0.882,0.748,67.2,57.3,1.94
CI-01253,observatie,25.2,3.5,Pd/C,192,25.6,69.4,9.42,47.6,165.7,0.751,0.92,0.8406,76.7,52.4,1.96
CI-01254,observatie,26.0,14.9,Pd/C,259,23.9,75.7,8.57,49.1,161.9,0.854,0.918,0.8165,73.7,57.1,1.75
CI-01255,observatie,13.4,6.8,Ni/SiO2,297,22.1,56.9,4.99,60.2,149.5,0.81,0.826,0.7203,59.7,51.9,1.75
CI-01256,observatie,13.8,12.1,Pt/Al2O3,283,21.2,57.8,6.39,43.6,156.9,0.813,0.86,0.7735,67.3,54.1,1.59
CI-01257,observatie,41.0,2.6,Pt/Al2O3,227,30.0,87.1,8.25,40.7,168.2,0.757,0.87,0.841,73.6,51.6,2.49
CI-01258,do(roersnelheid=300),30.6,2.6,Ni/SiO2,300,28.2,75.5,6.16,62.0,156.4,0.806,0.807,0.7174,56.9,48.4,2.02
CI-01259,observatie,30.8,9.1,Pd/C,246,27.7,76.2,8.09,46.9,161.0,0.808,0.924,0.8366,77.4,55.4,1.55
CI-01260,observatie,11.6,14.8,Pt/Al2O3,261,18.1,65.8,1.69,46.5,145.0,0.791,0.833,0.6624,55.3,54.2,1.65
CI-01261,do(druk=8),25.5,5.6,Pt/Al2O3,235,25.2,79.4,8.0,43.5,162.4,0.791,0.834,0.8293,69.6,55.7,1.97
CI-01262,observatie,2.1,8.4,Pt/Al2O3,268,15.5,48.3,8.22,46.3,158.2,0.75,0.827,0.7622,61.6,55.9,1.12
CI-01263,observatie,8.6,12.0,Ni/SiO2,252,17.6,58.7,4.9,64.0,144.2,0.77,0.762,0.7359,56.0,51.2,1.51
CI-01264,observatie,26.3,14.6,Pd/C,274,26.0,66.4,5.34,52.5,156.2,0.808,0.891,0.748,68.6,55.6,1.59
CI-01265,observatie,20.4,12.0,Pd/C,273,25.3,71.0,3.92,51.8,151.0,0.811,0.926,0.7118,66.5,49.9,1.99
CI-01266,observatie,8.0,5.3,Pd/C,245,18.8,54.5,1.6,47.7,148.9,0.771,0.851,0.6706,57.9,53.0,1.34
CI-01267,observatie,16.8,16.3,Ni/SiO2,291,22.9,63.8,7.72,59.5,156.8,0.786,0.818,0.7117,56.6,55.7,1.87
CI-01268,observatie,24.6,3.8,Pd/C,263,24.4,74.3,7.48,50.2,162.8,0.796,0.889,0.7831,69.2,56.9,1.9
CI-01269,observatie,28.2,4.1,Pd/C,256,26.6,74.3,2.22,51.7,148.6,0.789,0.914,0.625,56.6,52.5,2.19
CI-01270,observatie,24.8,14.5,Ni/SiO2,278,23.9,64.6,3.6,62.8,150.2,0.764,0.782,0.6685,53.5,53.0,1.77
CI-01271,observatie,15.1,3.1,Pd/C,202,18.5,65.5,4.05,49.5,151.1,0.756,0.913,0.6813,60.5,49.2,1.19
CI-01272,observatie,18.0,14.6,Pt/Al2O3,262,23.4,67.1,6.85,43.7,161.6,0.833,0.88,0.7925,67.6,61.2,1.6
CI-01273,observatie,23.2,11.2,Pt/Al2O3,273,24.3,66.0,2.78,45.6,151.9,0.797,0.806,0.7189,59.2,53.7,1.71
CI-01274,observatie,25.5,10.5,Ni/SiO2,264,26.0,72.0,7.88,63.7,156.6,0.818,0.793,0.7196,58.4,54.9,1.9
CI-01275,observatie,17.8,8.6,Pt/Al2O3,254,20.4,59.8,9.02,46.4,163.2,0.779,0.842,0.792,65.1,54.2,1.4
CI-01276,observatie,22.9,4.1,Pt/Al2O3,223,23.7,65.3,5.45,44.6,158.5,0.77,0.847,0.7496,63.2,51.7,2.12
CI-01277,observatie,15.2,3.8,Ni/SiO2,218,20.6,68.7,9.4,59.3,157.5,0.732,0.769,0.772,58.4,51.6,1.83
CI-01278,observatie,23.0,0.3,Pd/C,250,25.9,74.6,8.16,50.9,163.8,0.799,0.915,0.7539,66.9,54.9,2.18
CI-01279,observatie,22.9,5.1,Ni/SiO2,268,23.4,73.2,6.45,59.0,154.4,0.802,0.781,0.7387,56.4,53.6,1.64
CI-01280,observatie,22.2,16.9,Pd/C,278,27.6,60.0,9.74,50.6,166.3,0.809,0.933,0.8395,79.3,53.4,1.69
CI-01281,observatie,16.1,4.6,Pt/Al2O3,215,20.7,57.9,1.36,42.6,151.3,0.835,0.863,0.7211,61.3,48.5,1.25
CI-01282,observatie,21.7,11.5,Pd/C,261,25.4,69.3,3.22,47.5,153.1,0.733,0.943,0.7018,66.0,54.6,1.34
CI-01283,observatie,11.3,4.4,Ni/SiO2,256,19.0,54.4,8.57,58.7,155.9,0.846,0.811,0.7357,60.0,58.6,1.34
CI-01284,observatie,19.2,15.6,Pd/C,282,21.1,71.2,7.43,48.4,161.4,0.766,0.903,0.7461,67.3,58.3,2.01
CI-01285,observatie,8.3,3.7,Pt/Al2O3,214,19.2,69.2,7.1,43.0,159.5,0.735,0.853,0.7858,67.8,54.4,1.65
CI-01286,observatie,17.3,12.7,Pt/Al2O3,257,21.6,68.2,9.23,43.4,161.6,0.774,0.853,0.8,66.9,54.6,1.72
CI-01287,observatie,12.3,13.8,Pd/C,253,18.6,56.6,1.83,50.1,144.8,0.771,0.882,0.6696,58.1,52.3,1.41
CI-01288,observatie,18.8,4.5,Pt/Al2O3,209,22.4,69.3,5.17,44.1,157.6,0.74,0.853,0.7555,64.3,55.5,2.38
CI-01289,observatie,25.3,19.1,Ni/SiO2,246,26.5,64.2,6.66,60.5,155.1,0.802,0.804,0.7196,58.2,52.0,1.61
CI-01290,do(druk=8),12.8,2.4,Ni/SiO2,176,20.8,63.2,8.0,58.0,154.5,0.751,0.782,0.7503,60.1,49.2,1.25
CI-01291,do(roersnelheid=300),22.0,9.6,Ni/SiO2,300,23.2,66.8,1.99,60.7,145.6,0.767,0.796,0.651,52.2,49.8,2.34
CI-01292,observatie,18.6,13.5,Pd/C,325,22.8,67.5,7.24,49.7,160.9,0.849,0.889,0.7806,69.3,55.7,2.01
CI-01293,do(roersnelheid=300),26.7,10.0,Pt/Al2O3,300,26.4,71.8,8.81,46.6,164.1,0.789,0.849,0.8062,66.2,56.8,1.67
CI-01294,observatie,8.0,13.1,Pt/Al2O3,291,20.6,57.5,5.39,44.6,153.1,0.816,0.847,0.7571,63.8,56.6,1.32
CI-01295,observatie,20.5,1.4,Pd/C,205,22.4,66.9,6.37,49.1,159.3,0.733,0.902,0.7581,68.9,53.9,1.97
CI-01296,observatie,18.3,10.1,Pt/Al2O3,271,23.8,73.9,4.76,43.6,155.6,0.785,0.827,0.7651,62.5,54.7,1.75
CI-01297,do(druk=8),18.7,2.4,Pt/Al2O3,216,20.7,61.9,8.0,45.6,161.8,0.768,0.874,0.8344,73.1,53.1,1.54
CI-01298,observatie,21.8,16.6,Ni/SiO2,277,23.5,66.9,9.33,61.0,158.2,0.785,0.788,0.7397,59.1,58.3,2.0
CI-01299,do(roersnelheid=300),14.7,17.0,Ni/SiO2,300,20.8,53.2,2.22,60.0,144.0,0.803,0.832,0.673,56.6,54.4,1.79
CI-01300,observatie,19.5,1.8,Pt/Al2O3,209,22.4,57.7,8.52,44.7,162.8,0.759,0.892,0.7741,70.0,53.7,2.06
CI-01301,observatie,13.5,18.0,Ni/SiO2,278,18.9,63.4,3.08,59.5,142.6,0.755,0.802,0.6679,53.7,51.6,2.17
CI-01302,observatie,21.6,10.6,Ni/SiO2,281,24.2,69.3,4.75,59.1,149.7,0.791,0.794,0.7186,57.6,52.0,1.33
CI-01303,observatie,30.2,6.8,Pt/Al2O3,237,25.8,85.4,3.88,46.8,156.2,0.776,0.849,0.7173,60.5,52.0,2.17
CI-01304,observatie,28.8,9.7,Pt/Al2O3,225,25.6,65.3,2.27,45.2,150.9,0.721,0.87,0.6869,58.9,48.5,1.56
CI-01305,observatie,18.1,7.0,Pd/C,208,21.6,72.7,6.4,47.8,157.5,0.801,0.91,0.7637,68.9,50.5,2.4
CI-01306,observatie,17.4,15.4,Pd/C,292,21.8,68.9,9.69,48.7,161.7,0.794,0.913,0.8039,73.2,56.0,1.29
CI-01307,observatie,26.4,0.1,Pt/Al2O3,213,25.0,70.9,1.85,46.6,148.9,0.762,0.827,0.6575,53.5,49.0,2.43
CI-01308,observatie,27.1,13.6,Pt/Al2O3,283,25.5,69.7,5.52,47.5,151.9,0.803,0.837,0.7166,60.5,55.8,1.36
CI-01309,observatie,19.3,13.7,Pd/C,257,21.8,62.0,5.4,51.2,155.4,0.761,0.918,0.7272,65.5,49.2,1.55
CI-01310,observatie,1.4,8.3,Pt/Al2O3,255,14.9,46.3,8.49,46.1,158.1,0.809,0.847,0.7446,62.9,54.6,1.27
CI-01311,observatie,23.5,15.3,Pd/C,276,24.1,72.4,7.71,48.0,162.3,0.729,0.904,0.7925,72.9,55.6,1.66
CI-01312,observatie,37.6,12.9,Pt/Al2O3,212,29.7,81.0,2.36,44.9,154.8,0.755,0.828,0.7086,60.1,54.4,2.51
CI-01313,observatie,16.6,3.8,Ni/SiO2,199,22.2,64.4,2.47,62.2,146.5,0.747,0.793,0.6367,51.7,47.9,2.0
CI-01314,observatie,14.9,10.4,Pt/Al2O3,255,22.8,54.9,4.13,44.9,159.0,0.749,0.849,0.7404,63.4,53.9,1.31
CI-01315,observatie,29.1,8.5,Pd/C,240,26.7,69.7,9.5,51.1,166.6,0.784,0.895,0.8116,72.7,52.9,1.81
CI-01316,observatie,13.6,2.3,Pd/C,220,21.4,55.1,8.37,48.4,158.4,0.77,0.921,0.7505,70.4,52.8,1.64
CI-01317,observatie,20.2,2.5,Ni/SiO2,191,24.4,60.6,8.58,60.1,156.3,0.754,0.784,0.7634,61.4,52.7,1.46
CI-01318,observatie,20.9,6.1,Pd/C,234,22.9,71.2,8.31,49.5,161.9,0.81,0.916,0.7814,71.0,55.5,1.94
CI-01319,observatie,9.6,15.5,Pd/C,262,19.0,58.6,8.51,46.3,161.8,0.822,0.895,0.7987,70.3,55.4,1.42
CI-01320,observatie,26.5,12.5,Pd/C,256,26.1,61.6,2.35,50.1,149.1,0.764,0.9,0.6707,60.5,51.4,1.88
CI-01321,observatie,21.4,4.8,Pd/C,200,23.3,69.9,9.14,46.5,161.9,0.786,0.918,0.8235,75.0,52.5,2.39
CI-01322,observatie,17.4,15.7,Pt/Al2O3,274,24.3,72.1,5.44,45.3,156.8,0.782,0.876,0.778,68.5,55.1,2.16
CI-01323,observatie,21.3,9.3,Ni/SiO2,219,25.1,62.3,8.86,57.5,162.8,0.784,0.806,0.8092,65.5,52.4,1.62
CI-01324,observatie,20.0,5.4,Pt/Al2O3,210,23.2,70.7,4.21,45.3,155.1,0.805,0.881,0.7461,67.2,53.6,2.24
CI-01325,observatie,19.3,11.0,Ni/SiO2,252,23.4,72.1,4.2,59.9,149.6,0.764,0.789,0.6716,52.8,53.2,2.04
CI-01326,observatie,13.7,8.2,Pt/Al2O3,264,21.4,66.0,1.56,39.7,149.5,0.8,0.838,0.7406,61.7,53.7,2.32
CI-01327,observatie,10.4,15.2,Pd/C,288,19.9,63.5,4.79,49.0,152.5,0.794,0.905,0.7527,68.6,51.5,1.64
CI-01328,observatie,23.9,19.2,Pt/Al2O3,281,24.2,62.0,1.62,46.1,150.6,0.826,0.861,0.7003,61.3,53.8,1.86
CI-01329,observatie,3.7,7.2,Pt/Al2O3,215,15.9,54.5,5.37,46.1,151.7,0.79,0.848,0.7338,62.3,49.7,1.94
CI-01330,observatie,6.6,14.1,Pd/C,277,18.0,48.0,7.86,49.7,156.6,0.781,0.91,0.7714,68.6,55.9,1.6
CI-01331,observatie,24.5,13.4,Pd/C,291,23.6,65.2,3.21,46.6,150.7,0.801,0.928,0.7398,66.1,53.6,1.89
CI-01332,observatie,14.0,20.0,Pd/C,320,19.9,60.5,1.71,54.6,143.1,0.785,0.895,0.6511,59.7,56.9,2.0
CI-01333,do(druk=8),26.8,8.4,Pd/C,247,25.5,70.7,8.0,46.0,161.4,0.771,0.903,0.8023,73.4,54.5,1.63
CI-01334,observatie,20.2,17.7,Ni/SiO2,245,21.8,75.3,3.99,58.5,148.5,0.753,0.826,0.6634,53.9,55.3,2.13
CI-01335,observatie,-1.4,13.9,Pt/Al2O3,286,15.5,53.9,9.01,43.4,162.7,0.827,0.849,0.7898,66.6,56.7,1.68
CI-01336,observatie,33.8,13.8,Pt/Al2O3,262,28.5,73.4,6.7,42.1,159.0,0.753,0.848,0.7635,64.2,53.5,1.75
CI-01337,observatie,3.3,13.3,Pd/C,228,16.2,57.9,2.13,54.2,144.7,0.754,0.915,0.6709,63.2,48.9,1.52
